日期,方向,标的
2019-01-25,做多,128049.SZ
2019-01-25,做多,127004.SZ
2019-01-25,做多,128022.SZ
2019-01-25,做多,123003.SZ
2019-01-25,做多,123010.SZ
2019-01-25,做多,113017.SH
2019-01-25,做多,123015.SZ
2019-01-25,做多,128023.SZ
2019-01-25,做多,128036.SZ
2019-01-25,做多,128018.SZ
2019-01-25,做多,127003.SZ
2019-01-25,做多,123017.SZ
2019-01-25,做多,128015.SZ
2019-01-25,做多,128037.SZ
2019-01-25,做多,128013.SZ
2019-01-25,做空,113013.SH
2019-01-25,做空,113011.SH
2019-01-25,做空,127006.SZ
2019-01-25,做空,128024.SZ
2019-01-25,做空,113009.SH
2019-01-25,做空,110033.SH
2019-01-25,做空,110034.SH
2019-01-25,做空,110041.SH
2019-01-25,做空,110032.SH
2019-01-25,做空,127005.SZ
2019-01-25,做空,113008.SH
2019-01-25,做空,128047.SZ
2019-01-25,做空,127007.SZ
2019-01-25,做空,110042.SH
2019-01-25,做空,110031.SH
2019-02-22,做多,113521.SH
2019-02-22,做多,128038.SZ
2019-02-22,做多,128022.SZ
2019-02-22,做多,113524.SH
2019-02-22,做多,128050.SZ
2019-02-22,做多,128036.SZ
2019-02-22,做多,123010.SZ
2019-02-22,做多,113017.SH
2019-02-22,做多,128051.SZ
2019-02-22,做多,123017.SZ
2019-02-22,做多,128018.SZ
2019-02-22,做多,127004.SZ
2019-02-22,做多,128023.SZ
2019-02-22,做多,128015.SZ
2019-02-22,做多,127003.SZ
2019-02-22,做多,128037.SZ
2019-02-22,做多,128013.SZ
2019-02-22,做空,113013.SH
2019-02-22,做空,113011.SH
2019-02-22,做空,127006.SZ
2019-02-22,做空,128024.SZ
2019-02-22,做空,110041.SH
2019-02-22,做空,110048.SH
2019-02-22,做空,113009.SH
2019-02-22,做空,110034.SH
2019-02-22,做空,110031.SH
2019-02-22,做空,127005.SZ
2019-02-22,做空,113008.SH
2019-02-22,做空,110033.SH
2019-02-22,做空,128047.SZ
2019-02-22,做空,128029.SZ
2019-02-22,做空,110032.SH
2019-02-22,做空,128041.SZ
2019-02-22,做空,113014.SH
2019-03-29,做多,128033.SZ
2019-03-29,做多,123011.SZ
2019-03-29,做多,123018.SZ
2019-03-29,做多,128042.SZ
2019-03-29,做多,128049.SZ
2019-03-29,做多,113521.SH
2019-03-29,做多,128050.SZ
2019-03-29,做多,123017.SZ
2019-03-29,做多,128015.SZ
2019-03-29,做多,127004.SZ
2019-03-29,做多,113524.SH
2019-03-29,做多,110050.SH
2019-03-29,做多,128037.SZ
2019-03-29,做多,128051.SZ
2019-03-29,做多,128023.SZ
2019-03-29,做多,128052.SZ
2019-03-29,做多,127009.SZ
2019-03-29,做多,128013.SZ
2019-03-29,做空,113011.SH
2019-03-29,做空,110034.SH
2019-03-29,做空,110031.SH
2019-03-29,做空,113013.SH
2019-03-29,做空,113009.SH
2019-03-29,做空,127006.SZ
2019-03-29,做空,113014.SH
2019-03-29,做空,127010.SZ
2019-03-29,做空,110048.SH
2019-03-29,做空,110044.SH
2019-03-29,做空,113008.SH
2019-03-29,做空,128047.SZ
2019-03-29,做空,113516.SH
2019-03-29,做空,128024.SZ
2019-03-29,做空,128041.SZ
2019-03-29,做空,113506.SH
2019-03-29,做空,128030.SZ
2019-03-29,做空,110049.SH
2019-04-30,做多,123011.SZ
2019-04-30,做多,123018.SZ
2019-04-30,做多,113521.SH
2019-04-30,做多,128033.SZ
2019-04-30,做多,128018.SZ
2019-04-30,做多,127003.SZ
2019-04-30,做多,127004.SZ
2019-04-30,做多,128050.SZ
2019-04-30,做多,113524.SH
2019-04-30,做多,113017.SH
2019-04-30,做多,128023.SZ
2019-04-30,做多,128015.SZ
2019-04-30,做多,128051.SZ
2019-04-30,做多,128037.SZ
2019-04-30,做多,123017.SZ
2019-04-30,做多,127009.SZ
2019-04-30,做多,128013.SZ
2019-04-30,做多,128052.SZ
2019-04-30,做空,128043.SZ
2019-04-30,做空,110031.SH
2019-04-30,做空,113021.SH
2019-04-30,做空,113011.SH
2019-04-30,做空,113009.SH
2019-04-30,做空,113013.SH
2019-04-30,做空,128030.SZ
2019-04-30,做空,110034.SH
2019-04-30,做空,128041.SZ
2019-04-30,做空,110044.SH
2019-04-30,做空,128024.SZ
2019-04-30,做空,128036.SZ
2019-04-30,做空,127006.SZ
2019-04-30,做空,110041.SH
2019-04-30,做空,127010.SZ
2019-04-30,做空,110049.SH
2019-04-30,做空,110033.SH
2019-04-30,做空,113014.SH
2019-05-31,做多,128018.SZ
2019-05-31,做多,113521.SH
2019-05-31,做多,127003.SZ
2019-05-31,做多,113505.SH
2019-05-31,做多,123011.SZ
2019-05-31,做多,128022.SZ
2019-05-31,做多,128042.SZ
2019-05-31,做多,127004.SZ
2019-05-31,做多,128050.SZ
2019-05-31,做多,113528.SH
2019-05-31,做多,113524.SH
2019-05-31,做多,127009.SZ
2019-05-31,做多,128063.SZ
2019-05-31,做多,113017.SH
2019-05-31,做多,113530.SH
2019-05-31,做多,110056.SH
2019-05-31,做多,128023.SZ
2019-05-31,做多,128062.SZ
2019-05-31,做多,128037.SZ
2019-05-31,做多,123017.SZ
2019-05-31,做多,128051.SZ
2019-05-31,做多,128015.SZ
2019-05-31,做多,128013.SZ
2019-05-31,做空,110031.SH
2019-05-31,做空,110044.SH
2019-05-31,做空,113013.SH
2019-05-31,做空,113021.SH
2019-05-31,做空,110034.SH
2019-05-31,做空,128043.SZ
2019-05-31,做空,113011.SH
2019-05-31,做空,128041.SZ
2019-05-31,做空,110053.SH
2019-05-31,做空,127010.SZ
2019-05-31,做空,128024.SZ
2019-05-31,做空,113009.SH
2019-05-31,做空,128030.SZ
2019-05-31,做空,128036.SZ
2019-05-31,做空,110033.SH
2019-05-31,做空,110041.SH
2019-05-31,做空,127006.SZ
2019-05-31,做空,113014.SH
2019-05-31,做空,127005.SZ
2019-05-31,做空,110048.SH
2019-05-31,做空,113008.SH
2019-05-31,做空,113517.SH
2019-05-31,做空,113507.SH
2019-06-28,做多,123023.SZ
2019-06-28,做多,113524.SH
2019-06-28,做多,128022.SZ
2019-06-28,做多,113521.SH
2019-06-28,做多,123011.SZ
2019-06-28,做多,123010.SZ
2019-06-28,做多,127003.SZ
2019-06-28,做多,128063.SZ
2019-06-28,做多,128050.SZ
2019-06-28,做多,113532.SH
2019-06-28,做多,128033.SZ
2019-06-28,做多,110056.SH
2019-06-28,做多,113017.SH
2019-06-28,做多,113530.SH
2019-06-28,做多,128062.SZ
2019-06-28,做多,128051.SZ
2019-06-28,做多,127004.SZ
2019-06-28,做多,127013.SZ
2019-06-28,做多,128023.SZ
2019-06-28,做多,110058.SH
2019-06-28,做多,128037.SZ
2019-06-28,做多,128065.SZ
2019-06-28,做多,123017.SZ
2019-06-28,做多,128013.SZ
2019-06-28,做空,110044.SH
2019-06-28,做空,110031.SH
2019-06-28,做空,113021.SH
2019-06-28,做空,110034.SH
2019-06-28,做空,128036.SZ
2019-06-28,做空,110053.SH
2019-06-28,做空,128043.SZ
2019-06-28,做空,113013.SH
2019-06-28,做空,128041.SZ
2019-06-28,做空,113011.SH
2019-06-28,做空,128052.SZ
2019-06-28,做空,128024.SZ
2019-06-28,做空,113009.SH
2019-06-28,做空,110040.SH
2019-06-28,做空,110048.SH
2019-06-28,做空,113520.SH
2019-06-28,做空,123002.SZ
2019-06-28,做空,113511.SH
2019-06-28,做空,127006.SZ
2019-06-28,做空,127012.SZ
2019-06-28,做空,110033.SH
2019-06-28,做空,127005.SZ
2019-06-28,做空,113008.SH
2019-06-28,做空,128029.SZ
2019-07-26,做多,128022.SZ
2019-07-26,做多,128049.SZ
2019-07-26,做多,128044.SZ
2019-07-26,做多,127003.SZ
2019-07-26,做多,128063.SZ
2019-07-26,做多,128042.SZ
2019-07-26,做多,123011.SZ
2019-07-26,做多,128051.SZ
2019-07-26,做多,128035.SZ
2019-07-26,做多,113524.SH
2019-07-26,做多,113017.SH
2019-07-26,做多,128050.SZ
2019-07-26,做多,123021.SZ
2019-07-26,做多,113530.SH
2019-07-26,做多,110056.SH
2019-07-26,做多,110058.SH
2019-07-26,做多,127004.SZ
2019-07-26,做多,127013.SZ
2019-07-26,做多,128065.SZ
2019-07-26,做多,128023.SZ
2019-07-26,做多,128037.SZ
2019-07-26,做多,113532.SH
2019-07-26,做多,123017.SZ
2019-07-26,做多,128013.SZ
2019-07-26,做空,110044.SH
2019-07-26,做空,110031.SH
2019-07-26,做空,113021.SH
2019-07-26,做空,110053.SH
2019-07-26,做空,113011.SH
2019-07-26,做空,113013.SH
2019-07-26,做空,110034.SH
2019-07-26,做空,128036.SZ
2019-07-26,做空,113009.SH
2019-07-26,做空,128043.SZ
2019-07-26,做空,128052.SZ
2019-07-26,做空,128030.SZ
2019-07-26,做空,128024.SZ
2019-07-26,做空,127009.SZ
2019-07-26,做空,127012.SZ
2019-07-26,做空,127005.SZ
2019-07-26,做空,113019.SH
2019-07-26,做空,110040.SH
2019-07-26,做空,128029.SZ
2019-07-26,做空,110041.SH
2019-07-26,做空,110033.SH
2019-07-26,做空,110049.SH
2019-07-26,做空,127006.SZ
2019-07-26,做空,128016.SZ
2019-08-30,做多,128026.SZ
2019-08-30,做多,128032.SZ
2019-08-30,做多,113027.SH
2019-08-30,做多,110056.SH
2019-08-30,做多,128022.SZ
2019-08-30,做多,127003.SZ
2019-08-30,做多,113521.SH
2019-08-30,做多,123011.SZ
2019-08-30,做多,128051.SZ
2019-08-30,做多,128035.SZ
2019-08-30,做多,113537.SH
2019-08-30,做多,128050.SZ
2019-08-30,做多,113524.SH
2019-08-30,做多,110058.SH
2019-08-30,做多,113017.SH
2019-08-30,做多,123021.SZ
2019-08-30,做多,127013.SZ
2019-08-30,做多,113530.SH
2019-08-30,做多,127004.SZ
2019-08-30,做多,128069.SZ
2019-08-30,做多,128065.SZ
2019-08-30,做多,128023.SZ
2019-08-30,做多,128068.SZ
2019-08-30,做多,113532.SH
2019-08-30,做多,128037.SZ
2019-08-30,做多,128013.SZ
2019-08-30,做空,110044.SH
2019-08-30,做空,110031.SH
2019-08-30,做空,113021.SH
2019-08-30,做空,113013.SH
2019-08-30,做空,110053.SH
2019-08-30,做空,113011.SH
2019-08-30,做空,110034.SH
2019-08-30,做空,127012.SZ
2019-08-30,做空,110041.SH
2019-08-30,做空,110048.SH
2019-08-30,做空,113009.SH
2019-08-30,做空,113019.SH
2019-08-30,做空,127005.SZ
2019-08-30,做空,127006.SZ
2019-08-30,做空,128029.SZ
2019-08-30,做空,113008.SH
2019-08-30,做空,123022.SZ
2019-08-30,做空,110033.SH
2019-08-30,做空,113028.SH
2019-08-30,做空,113026.SH
2019-08-30,做空,110043.SH
2019-08-30,做空,113515.SH
2019-08-30,做空,128052.SZ
2019-08-30,做空,123001.SZ
2019-08-30,做空,113526.SH
2019-08-30,做空,128043.SZ
2019-09-30,做多,128051.SZ
2019-09-30,做多,110056.SH
2019-09-30,做多,128026.SZ
2019-09-30,做多,113535.SH
2019-09-30,做多,123021.SZ
2019-09-30,做多,123011.SZ
2019-09-30,做多,113537.SH
2019-09-30,做多,113530.SH
2019-09-30,做多,128013.SZ
2019-09-30,做空,113021.SH
2019-09-30,做空,113013.SH
2019-09-30,做空,110053.SH
2019-09-30,做空,113011.SH
2019-09-30,做空,110034.SH
2019-09-30,做空,128052.SZ
2019-09-30,做空,127012.SZ
2019-09-30,做空,128043.SZ
2019-09-30,做空,110044.SH
2019-10-25,做多,123023.SZ
2019-10-25,做多,128049.SZ
2019-10-25,做多,128032.SZ
2019-10-25,做多,127011.SZ
2019-10-25,做多,113537.SH
2019-10-25,做多,128026.SZ
2019-10-25,做多,113521.SH
2019-10-25,做多,127013.SZ
2019-10-25,做多,113505.SH
2019-10-25,做多,123011.SZ
2019-10-25,做多,128072.SZ
2019-10-25,做多,128073.SZ
2019-10-25,做多,113027.SH
2019-10-25,做多,128063.SZ
2019-10-25,做多,128050.SZ
2019-10-25,做多,110058.SH
2019-10-25,做多,128065.SZ
2019-10-25,做多,127004.SZ
2019-10-25,做多,113017.SH
2019-10-25,做多,113530.SH
2019-10-25,做多,128069.SZ
2019-10-25,做多,128023.SZ
2019-10-25,做多,128037.SZ
2019-10-25,做多,113532.SH
2019-10-25,做多,128013.SZ
2019-10-25,做空,113013.SH
2019-10-25,做空,113021.SH
2019-10-25,做空,110034.SH
2019-10-25,做空,110053.SH
2019-10-25,做空,127006.SZ
2019-10-25,做空,127005.SZ
2019-10-25,做空,128052.SZ
2019-10-25,做空,110031.SH
2019-10-25,做空,110048.SH
2019-10-25,做空,113009.SH
2019-10-25,做空,128029.SZ
2019-10-25,做空,127012.SZ
2019-10-25,做空,128043.SZ
2019-10-25,做空,110033.SH
2019-10-25,做空,123029.SZ
2019-10-25,做空,110057.SH
2019-10-25,做空,113011.SH
2019-10-25,做空,110041.SH
2019-10-25,做空,113507.SH
2019-10-25,做空,113026.SH
2019-10-25,做空,113019.SH
2019-10-25,做空,110044.SH
2019-10-25,做空,113008.SH
2019-10-25,做空,113531.SH
2019-10-25,做空,113526.SH
2019-11-29,做多,127011.SZ
2019-11-29,做多,123023.SZ
2019-11-29,做多,113537.SH
2019-11-29,做多,123028.SZ
2019-11-29,做多,128073.SZ
2019-11-29,做多,128026.SZ
2019-11-29,做多,127003.SZ
2019-11-29,做多,113535.SH
2019-11-29,做多,128022.SZ
2019-11-29,做多,128049.SZ
2019-11-29,做多,113027.SH
2019-11-29,做多,110058.SH
2019-11-29,做多,113521.SH
2019-11-29,做多,123010.SZ
2019-11-29,做多,128050.SZ
2019-11-29,做多,113530.SH
2019-11-29,做多,128063.SZ
2019-11-29,做多,127004.SZ
2019-11-29,做多,128069.SZ
2019-11-29,做多,128065.SZ
2019-11-29,做多,113017.SH
2019-11-29,做多,128023.SZ
2019-11-29,做多,128013.SZ
2019-11-29,做空,113013.SH
2019-11-29,做空,113021.SH
2019-11-29,做空,110053.SH
2019-11-29,做空,113011.SH
2019-11-29,做空,110041.SH
2019-11-29,做空,128030.SZ
2019-11-29,做空,110034.SH
2019-11-29,做空,127006.SZ
2019-11-29,做空,127012.SZ
2019-11-29,做空,113009.SH
2019-11-29,做空,127005.SZ
2019-11-29,做空,128029.SZ
2019-11-29,做空,110031.SH
2019-11-29,做空,113008.SH
2019-11-29,做空,128016.SZ
2019-11-29,做空,110048.SH
2019-11-29,做空,113019.SH
2019-11-29,做空,128052.SZ
2019-11-29,做空,123029.SZ
2019-11-29,做空,113544.SH
2019-11-29,做空,110043.SH
2019-11-29,做空,113026.SH
2019-11-29,做空,113028.SH
2019-12-27,做多,113027.SH
2019-12-27,做多,113505.SH
2019-12-27,做多,128065.SZ
2019-12-27,做多,128018.SZ
2019-12-27,做多,123004.SZ
2019-12-27,做多,113530.SH
2019-12-27,做多,128022.SZ
2019-12-27,做多,128049.SZ
2019-12-27,做多,123028.SZ
2019-12-27,做多,128073.SZ
2019-12-27,做多,113534.SH
2019-12-27,做多,123010.SZ
2019-12-27,做多,113535.SH
2019-12-27,做多,113524.SH
2019-12-27,做多,128063.SZ
2019-12-27,做多,127003.SZ
2019-12-27,做多,128042.SZ
2019-12-27,做多,128026.SZ
2019-12-27,做多,123033.SZ
2019-12-27,做多,128050.SZ
2019-12-27,做多,110058.SH
2019-12-27,做多,128069.SZ
2019-12-27,做多,127004.SZ
2019-12-27,做多,113017.SH
2019-12-27,做多,128023.SZ
2019-12-27,做多,128037.SZ
2019-12-27,做多,128013.SZ
2019-12-27,做多,113532.SH
2019-12-27,做空,113013.SH
2019-12-27,做空,113021.SH
2019-12-27,做空,110059.SH
2019-12-27,做空,110053.SH
2019-12-27,做空,127006.SZ
2019-12-27,做空,113009.SH
2019-12-27,做空,110034.SH
2019-12-27,做空,113011.SH
2019-12-27,做空,127012.SZ
2019-12-27,做空,127005.SZ
2019-12-27,做空,110041.SH
2019-12-27,做空,128029.SZ
2019-12-27,做空,110044.SH
2019-12-27,做空,110048.SH
2019-12-27,做空,123022.SZ
2019-12-27,做空,128078.SZ
2019-12-27,做空,113026.SH
2019-12-27,做空,113028.SH
2019-12-27,做空,128020.SZ
2019-12-27,做空,110043.SH
2019-12-27,做空,128048.SZ
2019-12-27,做空,128016.SZ
2019-12-27,做空,128017.SZ
2019-12-27,做空,110057.SH
2019-12-27,做空,113008.SH
2019-12-27,做空,128043.SZ
2019-12-27,做空,113516.SH
2019-12-27,做空,110031.SH
2020-01-23,做多,123010.SZ
2020-01-23,做多,123023.SZ
2020-01-23,做多,113528.SH
2020-01-23,做多,123004.SZ
2020-01-23,做多,128036.SZ
2020-01-23,做多,128018.SZ
2020-01-23,做多,123028.SZ
2020-01-23,做多,113027.SH
2020-01-23,做多,128022.SZ
2020-01-23,做多,113505.SH
2020-01-23,做多,113530.SH
2020-01-23,做多,128063.SZ
2020-01-23,做多,113524.SH
2020-01-23,做多,113016.SH
2020-01-23,做多,127003.SZ
2020-01-23,做多,128026.SZ
2020-01-23,做多,128073.SZ
2020-01-23,做多,128049.SZ
2020-01-23,做多,113535.SH
2020-01-23,做多,128072.SZ
2020-01-23,做多,110058.SH
2020-01-23,做多,128050.SZ
2020-01-23,做多,128069.SZ
2020-01-23,做多,113017.SH
2020-01-23,做多,128023.SZ
2020-01-23,做多,123033.SZ
2020-01-23,做多,128037.SZ
2020-01-23,做多,128013.SZ
2020-01-23,做多,113532.SH
2020-01-23,做空,110059.SH
2020-01-23,做空,128030.SZ
2020-01-23,做空,113021.SH
2020-01-23,做空,110053.SH
2020-01-23,做空,113013.SH
2020-01-23,做空,113011.SH
2020-01-23,做空,128078.SZ
2020-01-23,做空,127012.SZ
2020-01-23,做空,127005.SZ
2020-01-23,做空,110048.SH
2020-01-23,做空,128075.SZ
2020-01-23,做空,113515.SH
2020-01-23,做空,123002.SZ
2020-01-23,做空,128016.SZ
2020-01-23,做空,110031.SH
2020-01-23,做空,128029.SZ
2020-01-23,做空,113009.SH
2020-01-23,做空,128010.SZ
2020-01-23,做空,110041.SH
2020-01-23,做空,128048.SZ
2020-01-23,做空,113028.SH
2020-01-23,做空,127006.SZ
2020-01-23,做空,110043.SH
2020-01-23,做空,110057.SH
2020-01-23,做空,128061.SZ
2020-01-23,做空,127007.SZ
2020-01-23,做空,113026.SH
2020-01-23,做空,123016.SZ
2020-01-23,做空,123035.SZ
2020-02-28,做多,113528.SH
2020-02-28,做多,123023.SZ
2020-02-28,做多,123028.SZ
2020-02-28,做多,113537.SH
2020-02-28,做多,113505.SH
2020-02-28,做多,128049.SZ
2020-02-28,做多,113027.SH
2020-02-28,做多,128026.SZ
2020-02-28,做多,128033.SZ
2020-02-28,做多,128022.SZ
2020-02-28,做多,128063.SZ
2020-02-28,做多,127003.SZ
2020-02-28,做多,110058.SH
2020-02-28,做多,128073.SZ
2020-02-28,做多,113535.SH
2020-02-28,做多,110045.SH
2020-02-28,做多,113524.SH
2020-02-28,做多,113016.SH
2020-02-28,做多,128090.SZ
2020-02-28,做多,128085.SZ
2020-02-28,做多,113557.SH
2020-02-28,做多,113530.SH
2020-02-28,做多,128072.SZ
2020-02-28,做多,123033.SZ
2020-02-28,做多,113017.SH
2020-02-28,做多,128069.SZ
2020-02-28,做多,128086.SZ
2020-02-28,做多,128023.SZ
2020-02-28,做多,128037.SZ
2020-02-28,做多,128013.SZ
2020-02-28,做多,113555.SH
2020-02-28,做多,113532.SH
2020-02-28,做空,128088.SZ
2020-02-28,做空,128030.SZ
2020-02-28,做空,123036.SZ
2020-02-28,做空,110053.SH
2020-02-28,做空,113011.SH
2020-02-28,做空,113021.SH
2020-02-28,做空,127012.SZ
2020-02-28,做空,123035.SZ
2020-02-28,做空,113013.SH
2020-02-28,做空,110059.SH
2020-02-28,做空,110062.SH
2020-02-28,做空,128052.SZ
2020-02-28,做空,128078.SZ
2020-02-28,做空,123002.SZ
2020-02-28,做空,128074.SZ
2020-02-28,做空,113504.SH
2020-02-28,做空,128080.SZ
2020-02-28,做空,128010.SZ
2020-02-28,做空,113028.SH
2020-02-28,做空,127006.SZ
2020-02-28,做空,113009.SH
2020-02-28,做空,128059.SZ
2020-02-28,做空,128029.SZ
2020-02-28,做空,127005.SZ
2020-02-28,做空,110038.SH
2020-02-28,做空,110034.SH
2020-02-28,做空,128084.SZ
2020-02-28,做空,128053.SZ
2020-02-28,做空,110060.SH
2020-02-28,做空,110064.SH
2020-02-28,做空,113531.SH
2020-02-28,做空,110048.SH
2020-03-27,做多,128069.SZ
2020-03-27,做多,113557.SH
2020-03-27,做多,128063.SZ
2020-03-27,做多,127003.SZ
2020-03-27,做多,110061.SH
2020-03-27,做多,113505.SH
2020-03-27,做多,113535.SH
2020-03-27,做多,113524.SH
2020-03-27,做多,128051.SZ
2020-03-27,做多,128086.SZ
2020-03-27,做多,123017.SZ
2020-03-27,做多,128042.SZ
2020-03-27,做多,110058.SH
2020-03-27,做多,113530.SH
2020-03-27,做多,123033.SZ
2020-03-27,做多,128022.SZ
2020-03-27,做多,110050.SH
2020-03-27,做多,113517.SH
2020-03-27,做多,113555.SH
2020-03-27,做多,110045.SH
2020-03-27,做多,128072.SZ
2020-03-27,做多,113016.SH
2020-03-27,做多,110063.SH
2020-03-27,做多,113017.SH
2020-03-27,做多,128085.SZ
2020-03-27,做多,128035.SZ
2020-03-27,做多,128037.SZ
2020-03-27,做多,128023.SZ
2020-03-27,做多,128055.SZ
2020-03-27,做多,128013.SZ
2020-03-27,做多,113532.SH
2020-03-27,做空,128052.SZ
2020-03-27,做空,127004.SZ
2020-03-27,做空,128053.SZ
2020-03-27,做空,128041.SZ
2020-03-27,做空,110044.SH
2020-03-27,做空,128030.SZ
2020-03-27,做空,113520.SH
2020-03-27,做空,128078.SZ
2020-03-27,做空,110053.SH
2020-03-27,做空,113021.SH
2020-03-27,做空,110059.SH
2020-03-27,做空,123036.SZ
2020-03-27,做空,127012.SZ
2020-03-27,做空,113011.SH
2020-03-27,做空,123020.SZ
2020-03-27,做空,113013.SH
2020-03-27,做空,128088.SZ
2020-03-27,做空,113009.SH
2020-03-27,做空,113516.SH
2020-03-27,做空,128029.SZ
2020-03-27,做空,110043.SH
2020-03-27,做空,127006.SZ
2020-03-27,做空,128043.SZ
2020-03-27,做空,123022.SZ
2020-03-27,做空,127005.SZ
2020-03-27,做空,128080.SZ
2020-03-27,做空,110034.SH
2020-03-27,做空,113563.SH
2020-03-27,做空,113019.SH
2020-03-27,做空,128010.SZ
2020-03-27,做空,110048.SH
2020-04-30,做多,113528.SH
2020-04-30,做多,128026.SZ
2020-04-30,做多,113027.SH
2020-04-30,做多,128074.SZ
2020-04-30,做多,128063.SZ
2020-04-30,做多,128033.SZ
2020-04-30,做多,128042.SZ
2020-04-30,做多,110058.SH
2020-04-30,做多,128051.SZ
2020-04-30,做多,113535.SH
2020-04-30,做多,113524.SH
2020-04-30,做多,113530.SH
2020-04-30,做多,128035.SZ
2020-04-30,做多,123033.SZ
2020-04-30,做多,110063.SH
2020-04-30,做多,127011.SZ
2020-04-30,做多,128069.SZ
2020-04-30,做多,113557.SH
2020-04-30,做多,113555.SH
2020-04-30,做多,128022.SZ
2020-04-30,做多,113032.SH
2020-04-30,做多,110045.SH
2020-04-30,做多,128037.SZ
2020-04-30,做多,128072.SZ
2020-04-30,做多,113016.SH
2020-04-30,做多,113017.SH
2020-04-30,做多,128085.SZ
2020-04-30,做多,128023.SZ
2020-04-30,做多,128086.SZ
2020-04-30,做多,128013.SZ
2020-04-30,做多,113532.SH
2020-04-30,做空,128052.SZ
2020-04-30,做空,128041.SZ
2020-04-30,做空,127004.SZ
2020-04-30,做空,110044.SH
2020-04-30,做空,123015.SZ
2020-04-30,做空,128053.SZ
2020-04-30,做空,128036.SZ
2020-04-30,做空,113526.SH
2020-04-30,做空,128043.SZ
2020-04-30,做空,113021.SH
2020-04-30,做空,110053.SH
2020-04-30,做空,110059.SH
2020-04-30,做空,128030.SZ
2020-04-30,做空,128078.SZ
2020-04-30,做空,113013.SH
2020-04-30,做空,127012.SZ
2020-04-30,做空,113011.SH
2020-04-30,做空,110062.SH
2020-04-30,做空,110048.SH
2020-04-30,做空,127006.SZ
2020-04-30,做空,123022.SZ
2020-04-30,做空,113516.SH
2020-04-30,做空,127005.SZ
2020-04-30,做空,113025.SH
2020-04-30,做空,128029.SZ
2020-04-30,做空,113565.SH
2020-04-30,做空,110041.SH
2020-04-30,做空,123020.SZ
2020-04-30,做空,110064.SH
2020-04-30,做空,113009.SH
2020-04-30,做空,113563.SH
2020-05-29,做多,128042.SZ
2020-05-29,做多,113027.SH
2020-05-29,做多,113527.SH
2020-05-29,做多,128026.SZ
2020-05-29,做多,113557.SH
2020-05-29,做多,128063.SZ
2020-05-29,做多,128044.SZ
2020-05-29,做多,128022.SZ
2020-05-29,做多,113535.SH
2020-05-29,做多,113032.SH
2020-05-29,做多,128073.SZ
2020-05-29,做多,123033.SZ
2020-05-29,做多,128033.SZ
2020-05-29,做多,128035.SZ
2020-05-29,做多,113555.SH
2020-05-29,做多,110045.SH
2020-05-29,做多,113530.SH
2020-05-29,做多,113524.SH
2020-05-29,做多,110058.SH
2020-05-29,做多,113017.SH
2020-05-29,做多,110063.SH
2020-05-29,做多,123044.SZ
2020-05-29,做多,127011.SZ
2020-05-29,做多,128069.SZ
2020-05-29,做多,128085.SZ
2020-05-29,做多,128023.SZ
2020-05-29,做多,113016.SH
2020-05-29,做多,128037.SZ
2020-05-29,做多,113569.SH
2020-05-29,做多,128072.SZ
2020-05-29,做多,128013.SZ
2020-05-29,做多,128100.SZ
2020-05-29,做多,110067.SH
2020-05-29,做多,113532.SH
2020-05-29,做空,128052.SZ
2020-05-29,做空,110044.SH
2020-05-29,做空,128041.SZ
2020-05-29,做空,127004.SZ
2020-05-29,做空,128053.SZ
2020-05-29,做空,128036.SZ
2020-05-29,做空,128086.SZ
2020-05-29,做空,123015.SZ
2020-05-29,做空,113021.SH
2020-05-29,做空,110053.SH
2020-05-29,做空,110059.SH
2020-05-29,做空,123022.SZ
2020-05-29,做空,127012.SZ
2020-05-29,做空,113013.SH
2020-05-29,做空,110048.SH
2020-05-29,做空,128043.SZ
2020-05-29,做空,113011.SH
2020-05-29,做空,110031.SH
2020-05-29,做空,127014.SZ
2020-05-29,做空,127006.SZ
2020-05-29,做空,113516.SH
2020-05-29,做空,110043.SH
2020-05-29,做空,128080.SZ
2020-05-29,做空,110033.SH
2020-05-29,做空,110034.SH
2020-05-29,做空,127005.SZ
2020-05-29,做空,113563.SH
2020-05-29,做空,128017.SZ
2020-05-29,做空,128048.SZ
2020-05-29,做空,113025.SH
2020-05-29,做空,110041.SH
2020-05-29,做空,123036.SZ
2020-05-29,做空,113526.SH
2020-05-29,做空,128034.SZ
2020-06-24,做多,128042.SZ
2020-06-24,做多,128044.SZ
2020-06-24,做多,113027.SH
2020-06-24,做多,128026.SZ
2020-06-24,做多,113032.SH
2020-06-24,做多,113505.SH
2020-06-24,做多,128033.SZ
2020-06-24,做多,123004.SZ
2020-06-24,做多,113557.SH
2020-06-24,做多,113535.SH
2020-06-24,做多,113527.SH
2020-06-24,做多,123033.SZ
2020-06-24,做多,128073.SZ
2020-06-24,做多,123048.SZ
2020-06-24,做多,113524.SH
2020-06-24,做多,128013.SZ
2020-06-24,做多,128069.SZ
2020-06-24,做多,128022.SZ
2020-06-24,做多,123044.SZ
2020-06-24,做多,110045.SH
2020-06-24,做多,110058.SH
2020-06-24,做多,110063.SH
2020-06-24,做多,127011.SZ
2020-06-24,做多,128072.SZ
2020-06-24,做多,128100.SZ
2020-06-24,做多,113569.SH
2020-06-24,做多,113017.SH
2020-06-24,做多,113016.SH
2020-06-24,做多,128023.SZ
2020-06-24,做多,128085.SZ
2020-06-24,做多,113576.SH
