,1.0,3.0,5.0,7.0,10.0
2026-04-28,0.011513,0.012960000000000001,0.014862,0.01641,0.017654
2026-04-29,0.011667,0.012745,0.01471,0.016231,0.017444
2026-04-30,0.011619999999999998,0.012802000000000001,0.014787999999999999,0.016303,0.017473000000000002
2026-05-06,0.011781999999999999,0.012882,0.014903,0.016409,0.017654
2026-05-07,0.011814,0.012889999999999999,0.014865,0.016387,0.017630999999999997
2026-05-08,0.011871,0.012942,0.014856000000000001,0.016390000000000002,0.017648
2026-05-09,0.011871,0.012954,0.014858,0.016392,0.017669999999999998
2026-05-11,0.011897,0.012922,0.014838,0.016365,0.017622
2026-05-12,0.011944999999999999,0.012889999999999999,0.014795,0.016349,0.017592
2026-05-13,0.012057,0.012897,0.014736,0.01627,0.017514000000000002
2026-05-14,0.012105999999999999,0.012951999999999998,0.014736,0.016304,0.017588
2026-05-15,0.012065999999999999,0.012917000000000001,0.014702999999999999,0.016229,0.017658
