date,ts_code,market_price,convert_val,premium,maturity_yr,stock_mv_wan,rating,bs_dev,zl_dev,bs_score,zl_score,score,name
2026-06-23,111023.SH,116.35,137.88,-0.1562,5.03,831781.9898,AA,0.4221956459976432,0.186178252344485,0.4221956459976432,0.186178252344485,0.3041869491710641,利柏转债
2026-06-23,118025.SH,137.16,136.78,0.0028,2.34,3296698.7508,AA,0.1099786268077416,-0.0011128499611439,0.1099786268077416,-0.0011128499611439,0.05443288842329885,奕瑞转债
2026-06-23,123178.SZ,156.37,156.3,0.0005,2.7,1133583.4335,AA-,0.0657047279685299,-0.0006239683947274,0.0657047279685299,-0.0006239683947274,0.03254037978690125,花园转债
2026-06-23,123216.SZ,137.7,121.48,0.1335,3.12,891307.2751,AA,0.1014635646764275,-0.0430426933348128,0.1014635646764275,-0.0430426933348128,0.02921043567080735,科顺转债
2026-06-23,113644.SH,129.08,129.22,-0.0011,1.81,2053970.426,AA-,0.0306843240635145,0.0142290849693362,0.0306843240635145,0.0142290849693362,0.02245670451642535,艾迪转债
