ts_code,bond_short_name,publish_date,end_date,issue_size,convert_price_initial,convert_price,convert_val,convert_vol,convert_ratio,acc_convert_val,acc_convert_vol,acc_convert_ratio,remain_size,total_shares
110100.SH,龙建转债,20260807,20260807,1000000000.0,4.59,4.59,996.03,217.0,0.0001,20921.22,4558.0,0.0021,999979078.78,1013700604.0
110077.SH,洪城转债,20260806,20260806,1800000000.0,7.13,4.41,10998.54,2494.0,0.000611,1216128129.15,218112387.0,67.5627,583871870.85,1303336207.0
110100.SH,龙建转债,20260806,20260806,1000000000.0,4.59,4.59,996.03,217.0,0.0001,19925.19,4341.0,0.002,999980074.81,1013700387.0
111024.SH,澳弘转债,20260806,20260806,580000000.0,34.04,33.54,972.66,29.0,0.000168,51873.16,1524.0,0.0089,579948126.84,142925474.0
110099.SH,福能转债,20260806,20260806,3802000000.0,9.84,9.49,996.45,105.0,2.6e-05,99963.34,10175.0,0.0026,3801900036.66,2780147975.0
111012.SH,福新转债,20260805,20260805,429018000.0,13.85,11.11,1999.8,180.0,0.000466,327388991.73,24255537.0,76.3112,101629008.27,301889389.0
110077.SH,洪城转债,20260805,20260805,1800000000.0,7.13,4.41,996.66,226.0,5.5e-05,1216117130.61,218109893.0,67.5621,583882869.39,1303333713.0
110100.SH,龙建转债,20260805,20260805,1000000000.0,4.59,4.59,1992.06,434.0,0.000199,18929.16,4124.0,0.0019,999981070.84,1013700170.0
111000.SH,起帆转债,20260805,20260805,1000000000.0,20.1,17.29,985.53,57.0,9.9e-05,881953.4,44913.0,0.0882,999118046.6,412908213.0
110100.SH,龙建转债,20260804,20260804,1000000000.0,4.59,4.59,1992.06,434.0,0.000199,16937.1,3690.0,0.0017,999983062.9,1013699736.0
110085.SH,通22转债,20260803,20260803,12000000000.0,38.36,34.6,968.8,28.0,8e-06,16910937.6,442812.0,0.1409,11983081062.4,4501990996.0
110100.SH,龙建转债,20260731,20260731,1000000000.0,4.59,4.59,996.03,217.0,0.0001,14945.04,3256.0,0.0015,999985054.96,1013699302.0
