ts_code,bond_short_name,publish_date,change_date,convert_price_initial,convertprice_bef,convertprice_aft
113516.SH,苏农转债,20220608,20220616,6.34,5.37,5.21
113516.SH,苏农转债,20230620,20230628,6.34,5.21,5.04
113516.SH,苏农转债,20240531,20240607,6.34,5.04,4.86
113517.SH,曙光转债,20180802,20180806,51.28,,
113517.SH,曙光转债,20190416,20190423,51.28,51.28,36.53
113518.SH,顾家转债,20180910,20180912,52.38,,
113518.SH,顾家转债,20190312,20190318,52.38,52.38,52.2
113518.SH,顾家转债,20190528,20190603,52.38,52.2,36.57
113518.SH,顾家转债,20200605,20200611,52.38,36.57,35.42
113519.SH,长久转债,20181105,20181107,11.99,,
113519.SH,长久转债,20190520,20190527,11.99,11.99,11.85
113519.SH,长久转债,20200605,20200612,11.99,11.85,11.15
113519.SH,长久转债,20210604,20210611,11.99,11.15,11.04
113519.SH,长久转债,20240525,20240531,11.99,11.04,10.97
113520.SH,百合转债,20181106,20181108,19.03,,
113520.SH,百合转债,20190507,20190514,19.03,19.03,18.96
113520.SH,百合转债,20190528,20190603,19.03,18.96,14.28
113520.SH,百合转债,20201216,20201221,19.03,14.28,15.16
113521.SH,科森转债,20181114,20181116,8.95,,
113521.SH,科森转债,20190604,20190613,8.95,8.95,8.7
113522.SH,旭升转债,20181120,20181122,29.86,,
113522.SH,旭升转债,20190514,20190517,29.86,29.86,29.6
113523.SH,伟明转债,20181206,20181210,23.92,,
113523.SH,伟明转债,20190511,20190517,23.92,23.92,17.47
113524.SH,奇精转债,20181212,20181214,14.76,,
113524.SH,奇精转债,20190604,20190531,14.76,14.76,14.56
113524.SH,奇精转债,20200408,20200414,14.76,14.56,14.28
113524.SH,奇精转债,20200910,20200917,14.76,14.28,14.08
113524.SH,奇精转债,20210413,20210419,14.76,14.08,13.98
113524.SH,奇精转债,20220422,20220428,14.76,13.98,13.68
113524.SH,奇精转债,20230505,20230511,14.76,13.68,13.53
113524.SH,奇精转债,20240419,20240425,14.76,13.53,13.33
113525.SH,台华转债,20181213,20181217,11.56,,
113525.SH,台华转债,20190531,20190611,11.56,11.56,8.11
113525.SH,台华转债,20200616,20200622,11.56,8.11,8.03
113525.SH,台华转债,20201223,20201224,11.56,8.03,7.83
113525.SH,台华转债,20210521,20210528,11.56,7.83,7.78
113525.SH,台华转债,20220708,20220715,11.56,7.78,7.61
113526.SH,联泰转债,20190121,20190123,12.31,,
113526.SH,联泰转债,20190601,20190530,12.31,12.31,8.72
113526.SH,联泰转债,20200702,20200709,12.31,8.72,6.11
113526.SH,联泰转债,20210923,20210929,12.31,6.11,5.92
113526.SH,联泰转债,20220609,20220615,12.31,5.92,5.72
113527.SH,维格转债,20190122,20190124,14.96,,
113527.SH,维格转债,20190601,20190530,14.96,14.96,10.52
113527.SH,维格转债,20200804,20200805,14.96,10.52,9.85
113527.SH,维格转债,20220319,20220322,14.96,9.85,9.75
113527.SH,维格转债,20230818,20230824,14.96,9.75,9.65
113527.SH,维格转债,20240703,20240710,14.96,9.65,9.39
113528.SH,长城转债,20190226,20190227,24.18,,
113528.SH,长城转债,20190528,20190604,24.18,24.18,24.03
113528.SH,长城转债,20200519,20200526,24.18,24.03,23.75
113528.SH,长城转债,20200916,20200923,24.18,23.75,23.45
113528.SH,长城转债,20210519,20210526,24.18,23.45,23.35
113528.SH,长城转债,20210930,20211015,24.18,23.35,22.35
113529.SH,绝味转债,20190307,20190308,40.52,,
113529.SH,绝味转债,20190528,20190603,40.52,40.52,28.51
113530.SH,大丰转债,20190325,20190326,16.88,,
113530.SH,大丰转债,20190605,20190614,16.88,16.88,16.76
113530.SH,大丰转债,20200605,20200612,16.88,16.76,16.64
113530.SH,大丰转债,20210603,20210610,16.88,16.64,16.49
113530.SH,大丰转债,20211130,20211201,16.88,16.49,16.3
113530.SH,大丰转债,20220609,20220615,16.88,16.3,16.1
113530.SH,大丰转债,20230609,20230615,16.88,16.1,15.94
113530.SH,大丰转债,20231107,20231108,16.88,15.94,13.0
113530.SH,大丰转债,20240628,20240704,16.88,13.0,12.95
113531.SH,百姓转债,20190327,20190329,60.59,,
113531.SH,百姓转债,20190716,20190722,60.59,60.59,60.09
113532.SH,海环转债,20190329,20190402,7.8,,
113532.SH,海环转债,20190711,20190717,7.8,7.8,7.75
113532.SH,海环转债,20200702,20200710,7.8,7.75,7.69
113532.SH,海环转债,20210528,20210604,7.8,7.69,7.63
113532.SH,海环转债,20220525,20220531,7.8,7.63,7.56
113532.SH,海环转债,20220707,20220708,7.8,7.56,7.32
113532.SH,海环转债,20230621,20230703,7.8,7.32,7.26
113532.SH,海环转债,20231113,20231114,7.8,7.26,6.15
113532.SH,海环转债,20240321,20240322,7.8,6.15,5.39
113532.SH,海环转债,20240619,20240627,7.8,5.39,5.34
113532.SH,海环转债,20241011,20241018,7.8,5.34,5.3
113533.SH,参林转债,20190401,20190403,48.05,,
113533.SH,参林转债,20190524,20190530,48.05,48.05,36.5
113534.SH,鼎胜转债,20190404,20190408,20.8,,
113534.SH,鼎胜转债,20190708,20190715,20.8,20.8,20.7
113534.SH,鼎胜转债,20190924,20190923,20.8,20.7,15.28
113534.SH,鼎胜转债,20200717,20200724,20.8,15.28,15.18
113534.SH,鼎胜转债,20220716,20220725,20.8,15.18,14.98
113534.SH,鼎胜转债,20230531,20230606,20.8,14.98,7.84
113534.SH,鼎胜转债,20240628,20240705,20.8,7.84,7.65
113534.SH,鼎胜转债,20241022,20241028,20.8,7.65,7.61
113535.SH,大业转债,20190507,20190509,12.56,,
113535.SH,大业转债,20200611,20200617,12.56,12.56,12.4
113535.SH,大业转债,20210621,20210625,12.56,12.4,12.29
113535.SH,大业转债,20230527,20230530,12.56,12.29,9.59
113536.SH,三星转债,20190529,20190531,19.75,,
113536.SH,三星转债,20200604,20200612,19.75,19.75,19.54
113536.SH,三星转债,20210521,20210528,19.75,19.54,13.76
113537.SH,文灿转债,20190605,20190606,19.93,,
113537.SH,文灿转债,20200506,20200513,19.93,19.93,19.78
113537.SH,文灿转债,20200916,20200917,19.93,19.78,19.43
113537.SH,文灿转债,20210610,20210618,19.93,19.43,19.28
113537.SH,文灿转债,20220630,20220708,19.93,19.28,19.13
113537.SH,文灿转债,20230710,20230718,19.93,19.13,18.98
113537.SH,文灿转债,20240716,20240717,19.93,18.98,19.65
113537.SH,文灿转债,20240920,20240927,19.93,19.65,19.5
113538.SH,安图转债,20190626,20190628,64.11,,
113539.SH,圣达转债,20190701,20190703,28.78,,
113540.SH,南威转债,20190711,20190712,10.13,,
113541.SH,荣晟转债,20190719,20190723,18.72,,
113541.SH,荣晟转债,20200513,20200519,18.72,18.72,13.06
113541.SH,荣晟转债,20200701,20200702,18.72,13.06,11.54
113541.SH,荣晟转债,20210511,20210517,18.72,11.54,10.84
113541.SH,荣晟转债,20220606,20220613,18.72,10.84,10.49
113542.SH,好客转债,20190730,20190801,16.62,,
113542.SH,好客转债,20200601,20200605,16.62,16.62,16.27
113542.SH,好客转债,20210527,20210602,16.62,16.27,16.14
113542.SH,好客转债,20220615,20220621,16.62,16.14,16.08
113542.SH,好客转债,20230612,20230616,16.62,16.08,15.39
113542.SH,好客转债,20240530,20240606,16.62,15.39,15.18
113542.SH,好客转债,20250306,20250307,16.62,15.18,11.0
113542.SH,好客转债,20250606,20250613,16.62,11.0,10.92
113543.SH,欧派转债,20190814,20190816,101.46,,
113543.SH,欧派转债,20200715,20200721,101.46,101.46,71.69
113543.SH,欧派转债,20210601,20210608,101.46,71.69,70.49
113544.SH,桃李转债,20190918,20190920,47.54,,
113544.SH,桃李转债,20200526,20200601,47.54,47.54,46.54
113545.SH,金能转债,20191010,20191011,11.55,,
113545.SH,金能转债,20191224,20191230,11.55,11.55,11.4
113545.SH,金能转债,20201114,20201117,11.55,11.4,10.78
113545.SH,金能转债,20210525,20210531,11.55,10.78,10.43
113545.SH,金能转债,20220702,20220708,11.55,10.43,10.08
113545.SH,金能转债,20230701,20230710,11.55,10.08,9.96
113545.SH,金能转债,20240529,20240604,11.55,9.96,9.87
113545.SH,金能转债,20250618,20250625,11.55,9.87,9.75
113545.SH,金能转债,20250812,20250813,11.55,9.75,7.62
113545.SH,金能转债,20250910,20250917,11.55,7.62,7.39
113546.SH,迪贝转债,20191019,20191023,18.45,,
113546.SH,迪贝转债,20200520,20200526,18.45,18.45,14.1
113546.SH,迪贝转债,20210518,20210524,18.45,14.1,14.0
113546.SH,迪贝转债,20220517,20220523,18.45,14.0,13.8
113546.SH,迪贝转债,20230516,20230522,18.45,13.8,13.72
113546.SH,迪贝转债,20240316,20240319,18.45,13.72,12.03
113546.SH,迪贝转债,20240521,20240527,18.45,12.03,11.93
113547.SH,索发转债,20191022,20191023,10.67,,
113547.SH,索发转债,20200707,20200715,10.67,10.67,10.52
113548.SH,石英转债,20191024,20191028,15.25,,
113548.SH,石英转债,20200604,20200610,15.25,15.25,15.1
113548.SH,石英转债,20210521,20210528,15.25,15.1,14.93
113548.SH,石英转债,20220520,20220526,15.25,14.93,14.69
113549.SH,白电转债,20191113,20191115,8.99,,
113549.SH,白电转债,20200610,20200617,8.99,8.99,8.88
113549.SH,白电转债,20210707,20210714,8.99,8.88,8.81
113549.SH,白电转债,20210820,20210825,8.99,8.81,8.83
113549.SH,白电转债,20211111,20211116,8.99,8.83,9.06
113549.SH,白电转债,20220714,20220721,8.99,9.06,9.02
113549.SH,白电转债,20230628,20230705,8.99,9.02,9.0
113549.SH,白电转债,20240627,20240704,8.99,9.0,8.92
113549.SH,白电转债,20240921,20240924,8.99,8.92,7.73
113549.SH,白电转债,20250628,20250707,8.99,7.73,7.63
113550.SH,常汽转债,20191114,20191118,9.93,,
113550.SH,常汽转债,20200709,20200716,9.93,9.93,9.65
113550.SH,常汽转债,20210520,20210528,9.93,9.65,9.33
113551.SH,福特转债,20191114,20191115,41.04,,
113551.SH,福特转债,20200512,20200518,41.04,41.04,28.92
113552.SH,克来转债,20191128,20191202,27.86,,
113552.SH,克来转债,20200520,20200526,27.86,27.86,19.78
113553.SH,金牌转债,20191211,20191213,62.69,,
113553.SH,金牌转债,20200522,20200528,62.69,62.69,44.14
113554.SH,仙鹤转债,20191212,20191213,13.67,,
113554.SH,仙鹤转债,20200520,20200515,13.67,13.67,13.27
113555.SH,振德转债,20191217,20191219,20.04,,
113555.SH,振德转债,20200602,20200608,20.04,20.04,14.01
113556.SH,至纯转债,20191218,20191220,29.47,,
113556.SH,至纯转债,20200619,20200629,29.47,29.47,29.38
113556.SH,至纯转债,20200728,20200729,29.47,29.38,29.37
113556.SH,至纯转债,20210106,20210107,29.47,29.37,29.28
113557.SH,森特转债,20191217,20191219,10.26,,
113557.SH,森特转债,20200731,20200807,10.26,10.26,10.11
113558.SH,日月转债,20191219,20191223,19.68,,
113558.SH,日月转债,20200528,20200603,19.68,19.68,13.84
113559.SH,永创转债,20191219,20191223,10.39,,
113559.SH,永创转债,20200609,20200612,10.39,10.39,10.32
113561.SH,正裕转债,20191227,20191231,14.21,,
113561.SH,正裕转债,20200526,20200529,14.21,14.21,10.23
113561.SH,正裕转债,20210525,20210531,14.21,10.23,10.08
113561.SH,正裕转债,20220524,20220530,14.21,10.08,9.98
113561.SH,正裕转债,20230525,20230531,14.21,9.98,9.88
113561.SH,正裕转债,20240822,20240823,14.21,9.88,8.5
113561.SH,正裕转债,20250529,20250605,14.21,8.5,8.4
113562.SH,璞泰转债,20191230,20200102,83.18,,
113562.SH,璞泰转债,20200430,20200512,83.18,83.18,82.73
113562.SH,璞泰转债,20201208,20201211,83.18,82.73,83.54
113563.SH,柳药转债,20200114,20200116,34.94,,
113563.SH,柳药转债,20200618,20200624,34.94,34.94,24.47
113563.SH,柳药转债,20210603,20210610,34.94,24.47,23.87
113563.SH,柳药转债,20220610,20220617,34.94,23.87,23.39
113563.SH,柳药转债,20230602,20230608,34.94,23.39,22.89
113563.SH,柳药转债,20240427,20240430,34.94,22.89,22.53
113563.SH,柳药转债,20240604,20240611,34.94,22.53,21.93
113563.SH,柳药转债,20250523,20250529,34.94,21.93,21.18
113564.SH,天目转债,20200226,20200228,23.8,,
113564.SH,天目转债,20201125,20201201,23.8,23.8,23.1
113565.SH,宏辉转债,20200224,20200226,14.61,,
113565.SH,宏辉转债,20200515,20200522,14.61,14.61,10.0
113565.SH,宏辉转债,20210510,20210517,14.61,10.0,7.64
113565.SH,宏辉转债,20230613,20230620,14.61,7.64,5.85
113566.SH,翔港转债,20200226,20200228,15.16,,
113566.SH,翔港转债,20200702,20200701,15.16,15.16,10.77
113566.SH,翔港转债,20230620,20230628,15.16,10.77,10.76
113566.SH,翔港转债,20230912,20230919,15.16,10.76,10.74
113567.SH,君禾转债,20200302,20200304,16.2,,
113567.SH,君禾转债,20200509,20200515,16.2,16.2,11.46
113567.SH,君禾转债,20210528,20210603,16.2,11.46,11.16
113567.SH,君禾转债,20211208,20211209,16.2,11.16,10.58
113567.SH,君禾转债,20220527,20220602,16.2,10.58,7.45
113568.SH,新春转债,20200304,20200306,9.08,,
113568.SH,新春转债,20200610,20200616,9.08,9.08,8.91
113568.SH,新春转债,20210608,20210615,9.08,8.91,8.75
113569.SH,科达转债,20200305,20200309,14.88,,
113569.SH,科达转债,20200623,20200701,14.88,14.88,14.84
113569.SH,科达转债,20210517,20210521,14.88,14.84,14.8
113569.SH,科达转债,20220623,20220629,14.88,14.8,14.76
113569.SH,科达转债,20230922,20230925,14.88,14.76,14.57
113569.SH,科达转债,20240326,20240327,14.88,14.57,8.68
113569.SH,科达转债,20240730,20240731,14.88,8.68,6.36
113569.SH,科达转债,20250123,20250124,14.88,6.36,6.38
113570.SH,百达转债,20200309,20200311,16.39,,
113570.SH,百达转债,20200724,20200720,16.39,16.39,11.54
113570.SH,百达转债,20210623,20210630,16.39,11.54,11.34
113570.SH,百达转债,20220530,20220607,16.39,11.34,11.09
113571.SH,博特转债,20200310,20200312,19.18,,
113571.SH,博特转债,20200529,20200526,19.18,19.18,18.88
113572.SH,三祥转债,20200310,20200312,14.29,,
113572.SH,三祥转债,20200516,20200518,14.29,14.29,14.19
113572.SH,三祥转债,20210519,20210525,14.29,14.19,14.09
113573.SH,纵横转债,20200415,20200417,24.49,,
113573.SH,纵横转债,20200602,20200608,24.49,24.49,18.81
113573.SH,纵横转债,20210513,20210519,24.49,18.81,18.78
113573.SH,纵横转债,20220704,20220708,24.49,18.78,18.75
113573.SH,纵横转债,20230615,20230621,24.49,18.75,18.7
113573.SH,纵横转债,20231216,20231219,24.49,18.7,18.64
113573.SH,纵横转债,20240524,20240527,24.49,18.64,12.51
113573.SH,纵横转债,20240626,20240702,24.49,12.51,12.45
113574.SH,华体转债,20200327,20200331,47.72,,
113574.SH,华体转债,20200702,20200708,47.72,47.72,33.99
113574.SH,华体转债,20210602,20210608,47.72,33.99,33.91
113574.SH,华体转债,20221123,20221124,47.72,33.91,30.71
113574.SH,华体转债,20240614,20240620,47.72,30.71,30.53
113574.SH,华体转债,20241211,20241212,47.72,30.53,16.35
113574.SH,华体转债,20250328,20250331,47.72,16.35,13.49
113575.SH,东时转债,20200407,20200409,14.76,,
113575.SH,东时转债,20200610,20200616,14.76,14.76,14.56
113575.SH,东时转债,20210609,20210616,14.76,14.56,12.15
113575.SH,东时转债,20251115,20251118,14.76,12.15,4.42
113576.SH,起步转债,20200408,20200410,10.95,,
113576.SH,起步转债,20200601,20200605,10.95,10.95,10.55
113576.SH,起步转债,20230916,20230919,10.95,10.55,2.6
113576.SH,起步转债,20240510,20240513,10.95,2.6,1.75
113577.SH,春秋转债,20200410,20200414,15.69,,
113577.SH,春秋转债,20200529,20200528,15.69,15.69,11.06
113577.SH,春秋转债,20210603,20210610,15.69,11.06,10.86
113577.SH,春秋转债,20210902,20210903,15.69,10.86,10.85
113577.SH,春秋转债,20220628,20220706,15.69,10.85,10.75
113577.SH,春秋转债,20230614,20230620,15.69,10.75,10.65
113577.SH,春秋转债,20250612,20250619,15.69,10.65,10.5
113578.SH,全筑转债,20200416,20200420,5.47,,
113578.SH,全筑转债,20200904,20200716,5.47,5.47,5.43
113578.SH,全筑转债,20210618,20210625,5.47,5.43,5.4
113578.SH,全筑转债,20210914,20210915,5.47,5.4,5.25
113578.SH,全筑转债,20230628,20230629,5.47,5.25,3.2
113579.SH,健友转债,20200421,20200423,54.97,,
113579.SH,健友转债,20200710,20200710,54.97,54.97,54.96
113579.SH,健友转债,20200717,20200723,54.97,54.96,42.05
113579.SH,健友转债,20210624,20210625,54.97,42.05,42.01
113579.SH,健友转债,20210709,20210715,54.97,42.01,32.2
113579.SH,健友转债,20220609,20220610,54.97,32.2,32.19
113579.SH,健友转债,20220705,20220711,54.97,32.19,24.65
113579.SH,健友转债,20230703,20230707,54.97,24.65,24.54
113579.SH,健友转债,20240702,20240708,54.97,24.54,24.44
113579.SH,健友转债,20250529,20250605,54.97,24.44,24.34
113580.SH,康隆转债,20200421,20200423,24.45,,
113580.SH,康隆转债,20200609,20200616,24.45,24.45,15.51
113581.SH,龙蟠转债,20200421,20200423,9.61,,
113581.SH,龙蟠转债,20200529,20200604,9.61,9.61,9.48
113582.SH,火炬转债,20200525,20200527,25.33,,
113582.SH,火炬转债,20210702,20210709,25.33,25.33,24.99
113582.SH,火炬转债,20220509,20220516,25.33,24.99,24.51
113582.SH,火炬转债,20230509,20230516,25.33,24.51,24.16
113582.SH,火炬转债,20230614,20230615,25.33,24.16,24.15
113582.SH,火炬转债,20240430,20240506,25.33,24.15,24.11
113582.SH,火炬转债,20240524,20240531,25.33,24.11,23.96
113582.SH,火炬转债,20240930,20241014,25.33,23.96,23.89
113583.SH,益丰转债,20200528,20200601,71.82,,
113584.SH,家悦转债,20200603,20200605,37.97,,
113584.SH,家悦转债,20210608,20210615,37.97,37.97,37.53
113584.SH,家悦转债,20230513,20230516,37.97,37.53,35.9
113584.SH,家悦转债,20230609,20230615,37.97,35.9,35.8
113584.SH,家悦转债,20240224,20240227,37.97,35.8,35.99
113584.SH,家悦转债,20240615,20240624,37.97,35.99,35.8
113584.SH,家悦转债,20240723,20240724,37.97,35.8,12.8
113584.SH,家悦转债,20241108,20241115,37.97,12.8,12.69
113584.SH,家悦转债,20250708,20250715,37.97,12.69,12.61
113584.SH,家悦转债,20251014,20251021,37.97,12.61,12.45
113585.SH,寿仙转债,20200605,20200609,28.68,,
113585.SH,寿仙转债,20210623,20210630,28.68,28.68,28.38
113585.SH,寿仙转债,20220519,20220526,28.68,28.38,21.64
113586.SH,上机转债,20200605,20200609,33.31,,
113586.SH,上机转债,20200924,20200924,33.31,33.31,33.3
113587.SH,泛微转债,20200611,20200615,64.33,,
113588.SH,润达转债,20200615,20200617,13.36,,
113588.SH,润达转债,20210709,20210716,13.36,13.36,13.25
113588.SH,润达转债,20230711,20230718,13.36,13.25,13.1
113588.SH,润达转债,20240712,20240719,13.36,13.1,13.0
113588.SH,润达转债,20250711,20250718,13.36,13.0,12.97
113589.SH,天创转债,20200622,20200624,12.64,,
113589.SH,天创转债,20200928,20201012,12.64,12.64,12.44
113589.SH,天创转债,20210609,20210616,12.64,12.44,12.29
113590.SH,海容转债,20200623,20200629,36.39,,
113591.SH,胜达转债,20200629,20200701,14.73,,
113591.SH,胜达转债,20210104,20210104,14.73,14.73,10.46
113591.SH,胜达转债,20210519,20210520,14.73,10.46,8.83
113591.SH,胜达转债,20210607,20210611,14.73,8.83,8.76
113591.SH,胜达转债,20220530,20220608,14.73,8.76,8.74
113591.SH,胜达转债,20230602,20230608,14.73,8.74,8.71
113591.SH,胜达转债,20230819,20230822,14.73,8.71,8.68
113592.SH,安20转债,20200706,20200708,115.9,,
113593.SH,沪工转债,20200716,20200720,21.32,,
113593.SH,沪工转债,20210604,20210610,21.32,21.32,21.12
113593.SH,沪工转债,20220622,20220629,21.32,21.12,21.1
113593.SH,沪工转债,20250604,20250610,21.32,21.1,21.09
113594.SH,淳中转债,20200717,20200721,39.37,,
113594.SH,淳中转债,20210409,20210416,39.37,39.37,27.84
113594.SH,淳中转债,20211203,20211206,39.37,27.84,18.23
113594.SH,淳中转债,20220519,20220525,39.37,18.23,18.03
113594.SH,淳中转债,20230512,20230518,39.37,18.03,17.93
113595.SH,花王转债,20200716,20200721,6.94,,
113595.SH,花王转债,20210121,20210121,6.94,6.94,6.93
113595.SH,花王转债,20210611,20210618,6.94,6.93,6.92
113595.SH,花王转债,20220909,20220913,6.94,6.92,4.48
113596.SH,城地转债,20200724,20200728,29.21,,
113596.SH,城地转债,20210618,20210624,29.21,29.21,24.26
113596.SH,城地转债,20240312,20240313,29.21,24.26,23.67
113596.SH,城地转债,20240713,20240716,29.21,23.67,9.99
113596.SH,城地转债,20240823,20240826,29.21,9.99,8.28
113597.SH,佳力转债,20200728,20200730,23.4,,
113597.SH,佳力转债,20210617,20210623,23.4,23.4,23.15
113597.SH,佳力转债,20220609,20220616,23.4,23.15,16.36
113597.SH,佳力转债,20230330,20230331,23.4,16.36,15.2
113597.SH,佳力转债,20230602,20230609,23.4,15.2,10.79
113597.SH,佳力转债,20240531,20240607,23.4,10.79,10.71
113597.SH,佳力转债,20250530,20250609,23.4,10.71,10.63
113597.SH,佳力转债,20250711,20250714,23.4,10.63,8.68
113598.SH,法兰转债,20200729,20200731,13.88,,
113598.SH,法兰转债,20210728,20210803,13.88,13.88,9.7
113598.SH,法兰转债,20220625,20220701,13.88,9.7,9.48
113598.SH,法兰转债,20230628,20230704,13.88,9.48,7.68
113598.SH,法兰转债,20240531,20240607,13.88,7.68,7.45
113599.SH,嘉友转债,20200803,20200805,24.82,,
113599.SH,嘉友转债,20210608,20210615,24.82,24.82,18.32
113599.SH,嘉友转债,20220602,20220609,24.82,18.32,12.73
113600.SH,新星转债,20200811,20200813,23.85,,
113600.SH,新星转债,20230703,20230704,23.85,23.85,17.45
113600.SH,新星转债,20240805,20240806,23.85,17.45,10.0
113601.SH,塞力转债,20200819,20200821,16.98,,
113601.SH,塞力转债,20240906,20240909,16.98,16.98,13.71
113601.SH,塞力转债,20241025,20241028,16.98,13.71,12.71
113601.SH,塞力转债,20241119,20241120,16.98,12.71,12.5
113601.SH,塞力转债,20250207,20250210,16.98,12.5,12.0
113602.SH,景20转债,20200820,20200824,35.28,,
113602.SH,景20转债,20210316,20210317,35.28,35.28,27.7
113602.SH,景20转债,20210430,20210512,35.28,27.7,27.4
113602.SH,景20转债,20220713,20220721,35.28,27.4,27.1
113602.SH,景20转债,20230601,20230607,35.28,27.1,26.6
113602.SH,景20转债,20231116,20231117,35.28,26.6,23.08
113602.SH,景20转债,20240530,20240606,35.28,23.08,22.58
113603.SH,东缆转债,20200922,20200924,23.88,,
113603.SH,东缆转债,20210520,20210527,23.88,23.88,23.65
113604.SH,多伦转债,20201009,20201013,10.44,,
113604.SH,多伦转债,20210604,20210611,10.44,10.44,10.4
113604.SH,多伦转债,20230614,20230620,10.44,10.4,10.33
113604.SH,多伦转债,20231012,20231013,10.44,10.33,7.8
113605.SH,大参转债,20201020,20201022,83.85,,
113605.SH,大参转债,20210402,20210402,83.85,83.85,83.71
113605.SH,大参转债,20210603,20210610,83.85,83.71,69.09
113605.SH,大参转债,20211207,20211208,83.85,69.09,69.05
113605.SH,大参转债,20220607,20220613,83.85,69.05,57.13
113605.SH,大参转债,20230602,20230609,83.85,57.13,47.11
113605.SH,大参转债,20240615,20240621,83.85,47.11,46.8
113605.SH,大参转债,20241016,20241023,83.85,46.8,46.49
113605.SH,大参转债,20241119,20241120,83.85,46.49,18.0
113605.SH,大参转债,20250612,20250619,83.85,18.0,17.69
113605.SH,大参转债,20251030,20251106,83.85,17.69,17.35
113605.SH,大参转债,20260618,20260626,83.85,17.35,16.86
113606.SH,荣泰转债,20201028,20201030,33.32,,
113606.SH,荣泰转债,20210617,20210624,33.32,33.32,32.83
113606.SH,荣泰转债,20220527,20220602,33.32,32.83,32.15
113606.SH,荣泰转债,20230614,20230620,33.32,32.15,31.66
113606.SH,荣泰转债,20240529,20240605,33.32,31.66,23.78
113606.SH,荣泰转债,20241010,20241016,33.32,23.78,23.49
113606.SH,荣泰转债,20241018,20241021,33.32,23.49,23.42
113606.SH,荣泰转债,20250606,20250612,33.32,23.42,23.07
113607.SH,伟20转债,20201029,20201102,22.01,,
113607.SH,伟20转债,20210629,20210706,22.01,22.01,21.71
113608.SH,威派转债,20201105,20201109,19.24,,
113608.SH,威派转债,20210526,20210601,19.24,19.24,19.08
113608.SH,威派转债,20220427,20220428,19.24,19.08,17.89
113608.SH,威派转债,20220606,20220610,19.24,17.89,17.72
113608.SH,威派转债,20230601,20230607,19.24,17.72,17.62
113608.SH,威派转债,20240601,20240607,19.24,17.62,17.52
113608.SH,威派转债,20241106,20241107,19.24,17.52,17.54
113608.SH,威派转债,20241213,20241216,19.24,17.54,6.06
113609.SH,永安转债,20201120,20201124,20.34,,
113609.SH,永安转债,20210607,20210611,20.34,20.34,16.48
113609.SH,永安转债,20220601,20220609,20.34,16.48,16.38
113609.SH,永安转债,20221105,20221108,20.34,16.38,16.4
113609.SH,永安转债,20230605,20230606,20.34,16.4,14.93
113609.SH,永安转债,20230608,20230615,20.34,14.93,14.8
113609.SH,永安转债,20231114,20231115,20.34,14.8,14.81
113609.SH,永安转债,20240411,20240412,20.34,14.81,14.77
113609.SH,永安转债,20240627,20240704,20.34,14.77,14.47
113609.SH,永安转债,20250613,20250620,20.34,14.47,14.22
113610.SH,灵康转债,20201127,20201201,8.81,,
113610.SH,灵康转债,20210525,20210531,8.81,8.81,8.61
113610.SH,灵康转债,20220629,20220705,8.81,8.61,8.51
113610.SH,灵康转债,20240715,20240716,8.81,8.51,8.0
113610.SH,灵康转债,20250731,20250801,8.81,8.0,6.5
113611.SH,福20转债,20201127,20201201,73.69,,
113611.SH,福20转债,20210518,20210524,73.69,73.69,61.03
113612.SH,永冠转债,20201204,20201208,20.79,,
113612.SH,永冠转债,20210608,20210615,20.79,20.79,20.59
113614.SH,健20转债,20201215,20201217,38.04,,
113614.SH,健20转债,20210624,20210625,38.04,38.04,38.0
113614.SH,健20转债,20210709,20210715,38.04,38.0,29.12
113615.SH,金诚转债,20201221,20201223,12.73,,
113615.SH,金诚转债,20210603,20210609,12.73,12.73,12.65
113615.SH,金诚转债,20220701,20220711,12.73,12.65,12.55
113615.SH,金诚转债,20230630,20230707,12.73,12.55,12.43
113615.SH,金诚转债,20240703,20240711,12.73,12.43,12.23
113615.SH,金诚转债,20250620,20250627,12.73,12.23,11.78
113615.SH,金诚转债,20260702,20260709,12.73,11.78,11.12
113616.SH,韦尔转债,20201224,20201228,222.83,,
113616.SH,韦尔转债,20210624,20210630,222.83,222.83,222.52
113616.SH,韦尔转债,20220722,20220728,222.83,222.52,164.44
113616.SH,韦尔转债,20230725,20230731,222.83,164.44,164.36
113616.SH,韦尔转债,20231109,20231110,222.83,164.36,162.8
113616.SH,韦尔转债,20240807,20240813,222.83,162.8,162.66
113616.SH,韦尔转债,20241212,20241218,222.83,162.66,162.46
113616.SH,韦尔转债,20250726,20250801,222.83,162.46,162.24
113616.SH,韦尔转债,20251118,20251124,222.83,162.24,161.84
113616.SH,韦尔转债,20260113,20260114,222.83,161.84,159.38
113616.SH,韦尔转债,20260212,20260213,222.83,159.38,159.12
113616.SH,韦尔转债,20260529,20260604,222.83,159.12,159.02
113618.SH,美诺转债,20210112,20210114,37.47,,
113618.SH,美诺转债,20220101,20220105,37.47,37.47,37.23
113618.SH,美诺转债,20220601,20220608,37.47,37.23,26.51
113618.SH,美诺转债,20230520,20230526,37.47,26.51,26.35
113618.SH,美诺转债,20240628,20240701,37.47,26.35,25.86
113618.SH,美诺转债,20240708,20240715,37.47,25.86,25.84
113618.SH,美诺转债,20250530,20250603,37.47,25.84,25.73
