因子名称,累计超额收益率,年化超额收益率,年化波动率,夏普比率,最大回撤,平均换手率
流动性因子,88.08%,6.27%,13.78%,0.85,-17.40%,25.59%
波动率因子,146.69%,9.48%,20.24%,0.74,-36.63%,22.77%
量价相关性因子,118.84%,8.02%,13.62%,0.99,-20.76%,70.25%
估值因子,117.08%,7.93%,14.37%,0.93,-28.27%,26.46%
动量因子,138.32%,9.05%,16.92%,0.86,-26.29%,53.92%
BS定价偏差因子,62.05%,4.64%,13.24%,0.76,-21.74%,20.80%
六因子等权合成因子,205.44%,12.21%,18.13%,0.98,-29.25%,39.14%
