date,rebalance_date,benchmark_return,long_return_ew,long_return_ew_gross,ew_turnover,liquidity_return,liquidity_return_gross,liquidity_turnover,volatility_return,volatility_return_gross,volatility_turnover,price_volume_return,price_volume_return_gross,price_volume_turnover,valuation_return,valuation_return_gross,valuation_turnover,momentum_return,momentum_return_gross,momentum_turnover,zl_deviation_return,zl_deviation_return_gross,zl_deviation_turnover,benchmark_nav,long_nav,long_nav_gross,liquidity_nav,liquidity_nav_gross,volatility_nav,volatility_nav_gross,price_volume_nav,price_volume_nav_gross,valuation_nav,valuation_nav_gross,momentum_nav,momentum_nav_gross,zl_deviation_nav,zl_deviation_nav_gross
2019-02-22,2019-01-25,0.056231682462920984,0.061892265898172726,0.06249226589817273,1.0,0.044616890861937805,0.04521689086193781,1.0,0.05676977696107389,0.05736977696107389,1.0,0.03663836483323458,0.03723836483323458,1.0,0.049067627265712385,0.04966762726571239,1.0,0.08091465782140858,0.08151465782140858,1.0,0.04833031428098996,0.04893031428098996,1.0,1.056231682462921,1.0618922658981726,1.0624922658981728,1.0446168908619378,1.045216890861938,1.056769776961074,1.057369776961074,1.0366383648332347,1.0372383648332346,1.0490676272657125,1.0496676272657124,1.0809146578214086,1.0815146578214085,1.0483303142809899,1.04893031428099
2019-03-29,2019-02-22,0.054042180953750046,0.13285276528090872,0.13306452998679108,0.35294117647058826,0.08216376463539557,0.08234023522363086,0.29411764705882354,0.10652515773838002,0.10666633420896826,0.23529411764705882,0.08418415946764699,0.08464298299705875,0.7647058823529411,0.1049436189396727,0.105120089527908,0.29411764705882354,0.11212937002655599,0.11244701708537952,0.5294117647058824,0.10890408083696046,0.10900996318990164,0.17647058823529413,1.113312746175666,1.2029675898531549,1.2038722998745137,1.1304465472168768,1.131280295515222,1.1693423441450053,1.170155534972866,1.1239068942486365,1.125033314111711,1.159160580583432,1.1600087822184308,1.2021169374553935,1.2031277550275408,1.162497763571283,1.1632741692295325
2019-04-30,2019-03-29,-0.024140111468356804,-0.042436931796083,-0.04220359846274967,0.3888888888888889,-0.03804880364764623,-0.03788213698097956,0.2777777777777778,-0.03656458525818008,-0.036264585258180076,0.5,-0.050830679963639436,-0.0503973466303061,0.7222222222222222,-0.029322237366489538,-0.029022237366489536,0.5,-0.06950111955333557,-0.06910111955333557,0.6666666666666666,-0.0293166481206715,-0.029049981454004836,0.4444444444444444,1.086437252383843,1.1519173362896582,1.1530645567301827,1.0874344085076622,1.0884249803966313,1.1265858263065152,1.1277203298095113,1.066777942598156,1.068334620209781,1.1251713988936867,1.126342731993675,1.1185684644682166,1.1199902801894466,1.1284172256955962,1.1294810761874918
2019-05-31,2019-04-30,-0.0239851051629653,-0.042090538156886535,-0.04174768101402939,0.5714285714285714,-0.04273866646726153,-0.042510095038690104,0.38095238095238093,-0.04566557390622949,-0.04543700247765806,0.38095238095238093,-0.04200398304676265,-0.041489697332476934,0.8571428571428571,-0.03192440004280907,-0.03169582861423764,0.38095238095238093,-0.046984785522859535,-0.046556214094288104,0.7142857142857143,-0.022151620809342548,-0.02195162080934255,0.3333333333333333,1.0603789406324535,1.1034325156929792,1.1049267854272278,1.0409589120174294,1.0421559310374862,1.0751396379936045,1.0764800983898513,1.0219690199826028,1.0240097401674704,1.0892509770386776,1.0906423657995112,1.066012765072543,1.0678477729214249,1.1034209551972571,1.1046871358916959
2019-06-28,2019-05-31,0.012601469574789968,0.003459982929818774,0.003759982929818774,0.5,0.023339641895243478,0.02361464189524348,0.4583333333333333,0.0026814341544128557,0.0028564341544128555,0.2916666666666667,0.000550909669543924,0.001025909669543924,0.7916666666666666,0.014381281805977286,0.014656281805977285,0.4583333333333333,-0.000964547599156156,-0.000639547599156156,0.5416666666666666,0.002325153248963995,0.002575153248963995,0.4166666666666667,1.0737412735905814,1.1072503733614838,1.1090812912791337,1.0652545202515784,1.0667660701479404,1.0780225541396835,1.0795549929094377,1.0225320325976857,1.0250602816616154,1.1049158022969068,1.1066271276622066,1.0649845450193225,1.0671648334419888,1.105986578016209,1.107531874558776
2019-07-26,2019-06-28,0.01837719558528106,-0.009677713123307764,-0.009389713123307764,0.48,-0.002411838384344295,-0.002195838384344295,0.36,-0.012785226787830464,-0.012593226787830465,0.32,0.011014502527922932,0.011446502527922932,0.72,-0.019034749225509122,-0.01884274922550912,0.32,-0.0008574765843214945,-0.0004974765843214946,0.6,0.00443113006676837,0.00455113006676837,0.2,1.093473626983344,1.096534721892416,1.098667336123595,1.0626852985105393,1.0644236242639935,1.0642397913026114,1.0659599120537944,1.033794714255615,1.0367936367669286,1.083884007084883,1.0857752302095223,1.0640713457093043,1.06663394392574,1.1108873483954989,1.112572396172985
2019-08-30,2019-07-26,0.013109368829750133,0.007981257780473894,0.008197257780473893,0.36,0.013833569611291847,0.014001569611291847,0.28,0.01632873403239068,0.01647273403239068,0.24,0.010763590730183905,0.011147590730183905,0.64,0.007978866685764436,0.008098866685764436,0.2,0.026368014965283765,0.026704014965283764,0.56,0.015297181224095159,0.015465181224095159,0.28,1.1078083760650732,1.1052864481730795,1.1076733954927866,1.0773860295623814,1.0793272257350293,1.0816174798014788,1.083519186174247,1.04492205745889,1.0483513879012654,1.0925321730802455,1.0945687790496943,1.092128794877097,1.0951173527268125,1.1278807934834594,1.129778529904726
2019-09-30,2019-08-30,0.004349450306704206,0.011629314474498836,0.011952391397575758,0.5384615384615384,0.016068051345607078,0.01625266673022246,0.3076923076923077,0.006599753382955913,0.006738214921417452,0.23076923076923078,0.00440189033652932,0.004886505721144705,0.8076923076923077,0.005059426772060658,0.005244042156676043,0.3076923076923077,-0.001136465041248941,-0.0008364650412489411,0.5,0.024991661380049462,0.025130122918511,0.23076923076923078,1.112626733546119,1.118140171863286,1.1209127414563982,1.0946975236044294,1.0968691714277563,1.0887558884228627,1.0908201713221684,1.0495216897660447,1.053474162956015,1.0980597596060655,1.1003087438704122,1.0908876286811777,1.0942013253451914,1.1560684083512593,1.1581700032319264
2019-10-25,2019-09-30,0.013105165756585775,0.017073684190771928,0.017273684190771927,0.3333333333333333,0.018807158473438074,0.019007158473438073,0.3333333333333333,0.026698921356039424,0.026698921356039424,0.0,0.012387732016224104,0.012854398682890771,0.7777777777777778,0.01352494336516852,0.01372494336516852,0.3333333333333333,0.020824675746959714,0.021224675746959715,0.6666666666666666,0.0002965721889321438,0.00036323885559881044,0.1111111111111111,1.1272078913144494,1.1372309440386952,1.1402750341577284,1.1152856734113383,1.1177175375937125,1.1178244962637895,1.1199438932898802,1.062522883204081,1.0670159398487762,1.1129109556663082,1.1154104190642333,1.113605009824833,1.1174253936775367,1.1564112660896793,1.1585906955784893
2019-11-29,2019-10-25,-0.003354186117488216,0.0012500224041800654,0.0016580224041800654,0.68,-0.0022085246352904,-0.0017525246352904002,0.76,-0.000663495272734457,-0.0002794952727344571,0.64,-0.00036505531112448293,0.00018694468887551705,0.92,0.0032349284114594518,0.0036429284114594517,0.68,0.008032645378151855,0.008512645378151855,0.8,-0.010472097692831465,-0.009992097692831466,0.8,1.1234270262538795,1.1386525081974703,1.142165635711289,1.1128225375262228,1.1157587100737834,1.1170828249947717,1.119630874265978,1.062135003582376,1.0672154128116764,1.1165111429362176,1.1194737793702803,1.1225502039600892,1.1269376397904554,1.1443012143380973,1.1470139441622633
