因子名称,累计超额收益率,年化超额收益率,年化波动率,夏普比率,最大回撤,平均换手率
流动性因子,nan%,nan%,24.79%,nan,-17.34%,44.26%
波动率因子,nan%,nan%,28.33%,nan,-32.71%,45.51%
量价相关性因子,nan%,nan%,25.95%,nan,-22.86%,66.75%
估值因子,nan%,nan%,22.99%,nan,-25.80%,44.55%
动量因子,nan%,nan%,17.44%,nan,-26.35%,60.49%
ZL定价偏差因子,nan%,nan%,14.05%,nan,-18.77%,40.60%
六因子等权合成因子,nan%,nan%,27.94%,nan,-26.53%,54.28%
