model,factor,rebalance_date,return_date,n_obs,ic,rank_ic
ZL,liquidity,2019-01-25,2019-02-22,55,0.5986159563731449,0.41709956709956714
ZL,momentum,2019-01-25,2019-02-22,55,0.48033528418933275,0.256926406926407
ZL,price_volume,2019-01-25,2019-02-22,55,0.3809986608176022,0.37251082251082257
ZL,valuation,2019-01-25,2019-02-22,55,0.29463754738353115,0.3716450216450217
ZL,volatility,2019-01-25,2019-02-22,55,0.6264697026134801,0.38600288600288607
ZL,zl_deviation,2019-01-25,2019-02-22,55,0.406946580958732,0.39444444444444454
ZL,liquidity,2019-02-22,2019-03-29,63,0.13182909748849053,0.12836021505376344
ZL,momentum,2019-02-22,2019-03-29,63,0.021658158925648686,-0.026545698924731184
ZL,price_volume,2019-02-22,2019-03-29,63,-0.026444271893954156,-0.03662634408602151
ZL,valuation,2019-02-22,2019-03-29,63,0.21772384572123993,0.2613767281105991
ZL,volatility,2019-02-22,2019-03-29,63,0.09044875870601635,0.006096390168970815
ZL,zl_deviation,2019-02-22,2019-03-29,63,0.4394054392072387,0.48852726574500765
ZL,liquidity,2019-03-29,2019-04-30,81,-0.044164064654898624,-0.0542457091237579
ZL,momentum,2019-03-29,2019-04-30,81,-0.015609437194495994,-0.24462511291779584
ZL,price_volume,2019-03-29,2019-04-30,81,-0.07269520369090747,-0.3096657633242999
ZL,valuation,2019-03-29,2019-04-30,81,0.09222701347950332,0.01754742547425474
ZL,volatility,2019-03-29,2019-04-30,81,-0.06094152176834787,-0.2634823848238482
ZL,zl_deviation,2019-03-29,2019-04-30,81,0.19315221657949147,-0.05600722673893405
ZL,liquidity,2019-04-30,2019-05-31,72,0.19039872283384446,-0.015177824940510646
ZL,momentum,2019-04-30,2019-05-31,72,0.014800637704179874,-0.05366904624091582
ZL,price_volume,2019-04-30,2019-05-31,72,-0.17375749362617535,-0.3034600295838962
ZL,valuation,2019-04-30,2019-05-31,72,-0.2234671268986133,-0.18850086822303688
ZL,volatility,2019-04-30,2019-05-31,72,0.1038669148184515,-0.2170236028040389
ZL,zl_deviation,2019-04-30,2019-05-31,72,0.0428564633313532,-0.18708598623705708
ZL,liquidity,2019-05-31,2019-06-28,61,0.03768007934617225,0.07852987837123214
ZL,momentum,2019-05-31,2019-06-28,61,-0.17402911189859574,-0.23516657852987832
ZL,price_volume,2019-05-31,2019-06-28,61,0.02867288325599427,-0.11946060285563193
ZL,valuation,2019-05-31,2019-06-28,61,0.13788295163721448,0.22247488101533575
ZL,volatility,2019-05-31,2019-06-28,61,-0.13132535188912633,0.18334214701216284
ZL,zl_deviation,2019-05-31,2019-06-28,61,0.18148655655474058,0.18968799576943413
ZL,liquidity,2019-06-28,2019-07-26,69,-0.50551517803535,-0.2584947022287176
ZL,momentum,2019-06-28,2019-07-26,69,-0.6415362582872608,-0.3025575447570333
ZL,price_volume,2019-06-28,2019-07-26,69,-0.2988138970135982,-0.337522835221045
ZL,valuation,2019-06-28,2019-07-26,69,0.5489887906722857,0.26353671903544035
ZL,volatility,2019-06-28,2019-07-26,69,-0.6913953515797686,-0.42645232005845823
ZL,zl_deviation,2019-06-28,2019-07-26,69,0.3704888944422143,0.09810010960906103
ZL,liquidity,2019-07-26,2019-08-30,70,0.05017130210021602,0.07896072084682006
ZL,momentum,2019-07-26,2019-08-30,70,0.16162465994719022,0.25388854868340477
ZL,price_volume,2019-07-26,2019-08-30,70,0.2236296190772205,0.1593386405388855
ZL,valuation,2019-07-26,2019-08-30,70,0.045016713078951116,-0.03661971830985915
ZL,volatility,2019-07-26,2019-08-30,70,0.11869382701162598,0.12077683492257894
ZL,zl_deviation,2019-07-26,2019-08-30,70,0.23663220160836013,0.06625842008573178
ZL,liquidity,2019-08-30,2019-09-30,82,0.002980008287853114,-0.02715468921757491
ZL,momentum,2019-08-30,2019-09-30,82,0.04827825704328525,0.02872193380568344
ZL,price_volume,2019-08-30,2019-09-30,82,0.05908950932393023,0.09624405481002601
ZL,valuation,2019-08-30,2019-09-30,82,-0.15425043907972683,-0.10329665545651442
ZL,volatility,2019-08-30,2019-09-30,82,0.08856572245779291,-0.1050598056181365
ZL,zl_deviation,2019-08-30,2019-09-30,82,0.032745876682800434,0.04465558711812018
ZL,liquidity,2019-09-30,2019-10-25,48,0.045817942147793896,-0.059921841076856275
ZL,momentum,2019-09-30,2019-10-25,48,0.10306140532420548,0.02149370386452453
ZL,price_volume,2019-09-30,2019-10-25,48,-0.09086172292547735,-0.19876248371689104
ZL,valuation,2019-09-30,2019-10-25,48,0.06603469132418135,0.14285714285714285
ZL,volatility,2019-09-30,2019-10-25,48,0.02290245352884352,-0.06393834129396439
ZL,zl_deviation,2019-09-30,2019-10-25,48,0.2758664977310955,0.27431610942249235
ZL,liquidity,2019-10-25,2019-11-29,55,-0.15293642827396203,-0.11875901875901879
ZL,momentum,2019-10-25,2019-11-29,55,0.2559794579994773,0.13506493506493508
ZL,price_volume,2019-10-25,2019-11-29,55,-0.30240733983219287,-0.35331890331890337
ZL,valuation,2019-10-25,2019-11-29,55,0.30117588651650445,0.30569985569985575
ZL,volatility,2019-10-25,2019-11-29,55,-0.2536612651793571,-0.28816738816738824
ZL,zl_deviation,2019-10-25,2019-11-29,55,0.1448011047559562,0.05086580086580088
ZL,liquidity,2019-11-29,2019-12-27,56,0.08188035359636178,0.15659603554340396
ZL,momentum,2019-11-29,2019-12-27,56,0.3871121680339789,0.361244019138756
ZL,price_volume,2019-11-29,2019-12-27,56,0.32545296601339785,0.34955570745044434
ZL,valuation,2019-11-29,2019-12-27,56,0.07731437052580131,0.09419002050580999
ZL,volatility,2019-11-29,2019-12-27,56,0.04440228745011391,0.2905673274094327
ZL,zl_deviation,2019-11-29,2019-12-27,56,0.1394022910189433,0.09719753930280246
ZL,liquidity,2019-12-27,2020-01-23,98,0.36743965558872693,0.18573915039305317
ZL,momentum,2019-12-27,2020-01-23,98,0.22412421038539282,0.09850875682981719
ZL,price_volume,2019-12-27,2020-01-23,98,0.11895284934262702,0.09579276884136971
ZL,valuation,2019-12-27,2020-01-23,98,0.0630442493509966,0.04270986745213548
ZL,volatility,2019-12-27,2020-01-23,98,0.24575944499049365,0.22396700010838447
ZL,zl_deviation,2019-12-27,2020-01-23,98,0.13849554613166237,0.21561501826597554
ZL,liquidity,2020-01-23,2020-02-28,97,-0.0102339300024744,-0.15471807279612876
ZL,momentum,2020-01-23,2020-02-28,97,0.03519199937842694,0.05324268882810856
ZL,price_volume,2020-01-23,2020-02-28,97,0.02764524160659846,0.00022354302545760568
ZL,valuation,2020-01-23,2020-02-28,97,0.13488788982090816,0.028850199873763933
ZL,volatility,2020-01-23,2020-02-28,97,0.010152024688382257,-0.07347990742688827
ZL,zl_deviation,2020-01-23,2020-02-28,97,0.16523300579679198,-0.0017620450241952448
ZL,liquidity,2020-02-28,2020-03-27,148,0.10622780712401644,-0.2808871054316884
ZL,momentum,2020-02-28,2020-03-27,148,0.15029170940552108,-0.09614751033734735
ZL,price_volume,2020-02-28,2020-03-27,148,0.07988667063545338,-0.006059888130837317
ZL,valuation,2020-02-28,2020-03-27,148,-0.07400777459237114,0.006330121382853886
ZL,volatility,2020-02-28,2020-03-27,148,0.3395777707992961,-0.22352732132214398
ZL,zl_deviation,2020-02-28,2020-03-27,148,0.0830590897423787,0.1208757038095485
ZL,liquidity,2020-03-27,2020-04-30,154,0.21618747026455143,0.17055291324741043
ZL,momentum,2020-03-27,2020-04-30,154,0.30548515513782104,-0.12363537790482763
ZL,price_volume,2020-03-27,2020-04-30,154,0.20833630379217974,0.015103050017661025
ZL,valuation,2020-03-27,2020-04-30,154,-0.3294398611822322,-0.10158784921593271
ZL,volatility,2020-03-27,2020-04-30,154,0.3683427625719087,0.21771359570221052
ZL,zl_deviation,2020-03-27,2020-04-30,154,-0.43001556701317967,-0.01977870327016437
ZL,liquidity,2020-04-30,2020-05-29,154,-0.08289389537966056,-0.2298906659437969
ZL,momentum,2020-04-30,2020-05-29,154,0.11068957478096048,-0.06976186368975744
ZL,price_volume,2020-04-30,2020-05-29,154,-0.02565212009901836,-0.22202452828638788
ZL,valuation,2020-04-30,2020-05-29,154,0.2853561763728811,0.08544485242777464
ZL,volatility,2020-04-30,2020-05-29,154,-0.16444153886252463,-0.230242243524976
ZL,zl_deviation,2020-04-30,2020-05-29,154,0.45174586755393503,0.26185793965680115
ZL,liquidity,2020-05-29,2020-06-24,134,0.09369390174456908,0.10670207857953344
ZL,momentum,2020-05-29,2020-06-24,134,0.016478214387758715,0.00683549670195389
ZL,price_volume,2020-05-29,2020-06-24,134,0.14131727758421977,0.022706018778289004
ZL,valuation,2020-05-29,2020-06-24,134,-0.00017473338743535671,0.1075250314841831
ZL,volatility,2020-05-29,2020-06-24,134,-0.10302533680165482,0.18686267908577417
ZL,zl_deviation,2020-05-29,2020-06-24,134,0.2790578197836609,0.19977555829873192
ZL,liquidity,2020-06-24,2020-07-31,145,-0.028899407182211886,-0.12370492835773893
ZL,momentum,2020-06-24,2020-07-31,145,0.528103275735829,0.20326326562746022
ZL,price_volume,2020-06-24,2020-07-31,145,-0.08708089439972325,-0.08269957487009919
ZL,valuation,2020-06-24,2020-07-31,145,-0.02897332316265203,0.16667060305463705
ZL,volatility,2020-06-24,2020-07-31,145,-0.01997405778985273,-0.0706857187844434
ZL,zl_deviation,2020-06-24,2020-07-31,145,0.451365856807997,0.1879428436466698
ZL,liquidity,2020-07-31,2020-08-28,165,-0.007737158888765625,-0.21491197606390086
ZL,momentum,2020-07-31,2020-08-28,165,-0.33659461329543316,-0.13350252451045871
ZL,price_volume,2020-07-31,2020-08-28,165,0.06840916632907054,-0.004739133919269095
ZL,valuation,2020-07-31,2020-08-28,165,0.04693804889060397,-0.08655731573745093
ZL,volatility,2020-07-31,2020-08-28,165,-0.13403138377977442,-0.24877247348596165
ZL,zl_deviation,2020-07-31,2020-08-28,165,-0.3732298057366686,-0.14098789837843614
ZL,liquidity,2020-08-28,2020-09-30,166,-0.4004047799703244,-0.35133369624387595
ZL,momentum,2020-08-28,2020-09-30,166,-0.35801516217562507,-0.18516963881656184
ZL,price_volume,2020-08-28,2020-09-30,166,-0.2741794757027184,-0.27186678122397046
ZL,valuation,2020-08-28,2020-09-30,166,0.2150442187360958,0.31053380642876355
ZL,volatility,2020-08-28,2020-09-30,166,-0.46610605499740826,-0.4688327616399185
ZL,zl_deviation,2020-08-28,2020-09-30,166,0.357189341377409,0.16129624649933433
ZL,liquidity,2020-09-30,2020-10-30,145,0.3831428130970417,0.2427688552983782
ZL,momentum,2020-09-30,2020-10-30,145,-0.05458543732656565,0.23508108959219018
ZL,price_volume,2020-09-30,2020-10-30,145,0.2646022752219437,0.27712171311604467
ZL,valuation,2020-09-30,2020-10-30,145,-0.23600177649927917,-0.236946937490159
ZL,volatility,2020-09-30,2020-10-30,145,0.32917823023919884,0.19305227523224686
ZL,zl_deviation,2020-09-30,2020-10-30,145,-0.2849881209789636,0.052350023618327815
ZL,liquidity,2020-10-30,2020-11-27,194,-0.43651272161466853,-0.3490387183459135
ZL,momentum,2020-10-30,2020-11-27,194,-0.4050959121154069,-0.17561602971570386
ZL,price_volume,2020-10-30,2020-11-27,194,-0.16524883940933982,-0.22260069933805313
ZL,valuation,2020-10-30,2020-11-27,194,0.2860944974524122,0.3390951338069548
ZL,volatility,2020-10-30,2020-11-27,194,-0.5517175801977668,-0.37312355931019464
ZL,zl_deviation,2020-10-30,2020-11-27,194,0.4910223311811922,0.34840594478434334
ZL,liquidity,2020-11-27,2020-12-31,160,0.3475460562522264,0.25093460682057894
ZL,momentum,2020-11-27,2020-12-31,160,0.21230883558895922,0.08163600140630492
ZL,price_volume,2020-11-27,2020-12-31,160,0.04293059494906481,-0.07214344310324622
ZL,valuation,2020-11-27,2020-12-31,160,-0.44221371459520814,-0.33929157388960507
ZL,volatility,2020-11-27,2020-12-31,160,0.322024938680385,0.22543361068791748
ZL,zl_deviation,2020-11-27,2020-12-31,160,-0.08427846955670021,-0.0996161959451541
ZL,liquidity,2020-12-31,2021-01-29,210,-0.005190256951742086,-0.028058297402273457
ZL,momentum,2020-12-31,2021-01-29,210,0.021264314821334604,0.07222256416569213
ZL,price_volume,2020-12-31,2021-01-29,210,-0.04997666951570832,-0.12038562584833473
ZL,valuation,2020-12-31,2021-01-29,210,-0.1206847062423999,-0.039649101210587866
ZL,volatility,2020-12-31,2021-01-29,210,-0.07207904425951484,-0.12750337714169094
ZL,zl_deviation,2020-12-31,2021-01-29,210,0.09250663765872211,0.0005630189217118626
ZL,liquidity,2021-01-29,2021-02-26,200,-0.2731684020582141,-0.32679966999174986
ZL,momentum,2021-01-29,2021-02-26,200,-0.13052025324310024,-0.19398634965874148
ZL,price_volume,2021-01-29,2021-02-26,200,-0.13917365022174277,-0.25194929873246835
ZL,valuation,2021-01-29,2021-02-26,200,0.1280052732067875,0.3559723993099828
ZL,volatility,2021-01-29,2021-02-26,200,-0.2730664872562183,-0.34339908497712446
ZL,zl_deviation,2021-01-29,2021-02-26,200,0.2324158612991896,0.30686717167929206
ZL,liquidity,2021-02-26,2021-03-26,178,-0.30616428251952094,-0.39686933800318963
ZL,momentum,2021-02-26,2021-03-26,178,0.04216867479604444,0.008605969174267418
ZL,price_volume,2021-02-26,2021-03-26,178,-0.037798532916000445,-0.11661838287785568
ZL,valuation,2021-02-26,2021-03-26,178,0.18525637842046572,0.31665264078456984
ZL,volatility,2021-02-26,2021-03-26,178,-0.14900487142776725,-0.25340105476051916
ZL,zl_deviation,2021-02-26,2021-03-26,178,0.11258038749222883,0.39540965328232236
ZL,liquidity,2021-03-26,2021-04-30,193,0.14991416488352727,-0.019102879119705145
ZL,momentum,2021-03-26,2021-04-30,193,0.000214029867665245,-0.12768748998450938
ZL,price_volume,2021-03-26,2021-04-30,193,-0.004598606814496807,-0.18761183964531808
ZL,valuation,2021-03-26,2021-04-30,193,0.016782054622991472,-0.006454983708135248
ZL,volatility,2021-03-26,2021-04-30,193,0.20218978779872723,-0.061371588056193575
ZL,zl_deviation,2021-03-26,2021-04-30,193,0.1669588145064587,0.16583816302547938
ZL,liquidity,2021-04-30,2021-05-28,190,0.11811564335929607,0.017729314560397506
ZL,momentum,2021-04-30,2021-05-28,190,0.04295576604634165,-0.022510902036942268
ZL,price_volume,2021-04-30,2021-05-28,190,0.1566655151840256,0.10428602046127537
ZL,valuation,2021-04-30,2021-05-28,190,0.17832031958879727,0.06860169621260832
ZL,volatility,2021-04-30,2021-05-28,190,0.15575532940921719,0.04222510902036943
ZL,zl_deviation,2021-04-30,2021-05-28,190,0.0007768199748665138,0.07825409947206587
ZL,liquidity,2021-05-28,2021-06-25,223,-0.027359743716122414,-0.11398834773274234
ZL,momentum,2021-05-28,2021-06-25,223,0.056061497953281796,0.18106463285835483
ZL,price_volume,2021-05-28,2021-06-25,223,0.09129228823350068,0.08112869435739391
ZL,valuation,2021-05-28,2021-06-25,223,0.2158345645569221,0.13383226275602958
ZL,volatility,2021-05-28,2021-06-25,223,-0.10492894989006835,-0.05028827674567585
ZL,zl_deviation,2021-05-28,2021-06-25,223,0.23872292128790554,0.22348373357341966
ZL,liquidity,2021-06-25,2021-07-30,224,0.18161223631899928,0.15370653259303682
ZL,momentum,2021-06-25,2021-07-30,224,0.1895489559360438,0.3314446752735211
ZL,price_volume,2021-06-25,2021-07-30,224,0.21934817099233775,0.20905301330691897
ZL,valuation,2021-06-25,2021-07-30,224,0.016816934293665424,-0.014201904281952322
ZL,volatility,2021-06-25,2021-07-30,224,0.0829719726557423,0.2322667713716641
ZL,zl_deviation,2021-06-25,2021-07-30,224,0.07716283308850563,0.041198494874679796
ZL,liquidity,2021-07-30,2021-08-27,230,0.08327115882959657,0.02240512477839229
ZL,momentum,2021-07-30,2021-08-27,230,0.04291469418855619,0.09673216474051863
ZL,price_volume,2021-07-30,2021-08-27,230,0.021973515568407338,-0.09144957946932503
ZL,valuation,2021-07-30,2021-08-27,230,0.04099360125085262,0.14194580813149257
ZL,volatility,2021-07-30,2021-08-27,230,0.14414190473921948,0.0746618864332933
ZL,zl_deviation,2021-07-30,2021-08-27,230,0.20681033925652684,0.2115780934463296
ZL,liquidity,2021-08-27,2021-09-30,233,-0.18555637305306838,-0.25954375898877896
ZL,momentum,2021-08-27,2021-09-30,233,-0.1147025081782025,-0.1445433605415846
ZL,price_volume,2021-08-27,2021-09-30,233,-0.1653503704715746,-0.23411998193706052
ZL,valuation,2021-08-27,2021-09-30,233,0.22106626743557972,0.2833234670218539
ZL,volatility,2021-08-27,2021-09-30,233,-0.24949850219454342,-0.35051115082933937
ZL,zl_deviation,2021-08-27,2021-09-30,233,0.11345335079681773,0.19728259013444746
ZL,liquidity,2021-09-30,2021-10-29,219,-0.0020033695695792363,-0.10189427262444732
ZL,momentum,2021-09-30,2021-10-29,219,-0.1426014578034922,-0.154135295394564
ZL,price_volume,2021-09-30,2021-10-29,219,-0.011385730530511673,-0.08021753287556983
ZL,valuation,2021-09-30,2021-10-29,219,-0.09800093298230876,-0.24504552880825348
ZL,volatility,2021-09-30,2021-10-29,219,0.03797322501231083,-0.048378214722314274
ZL,zl_deviation,2021-09-30,2021-10-29,219,-0.07112715553462567,-0.1905617695111223
ZL,liquidity,2021-10-29,2021-11-26,219,0.04891371467722103,0.0002627760576736322
ZL,momentum,2021-10-29,2021-11-26,219,0.09974395734372664,0.02810218561129709
ZL,price_volume,2021-10-29,2021-11-26,219,0.007897403853030883,0.01921692734813258
